density	temperature	mass	luminosity	opticaldepth	
162200.0	15368719.457691245	0.6794217712163527	24.233494192656973	0.6666666666666666	
162200.0	15368719.457691245	2.2940532185388554e+26	8.182387981118222e+23	46847962649.736664	
164354.1802592692	15194644.914498579	1.7205399139041035e+27	6.136790985838532e+24	103065517828.62067	
164327.72154052605	15124518.859229568	5.786927541211657e+27	1.9785400282397827e+25	162294446675.4486	
162208.22577472177	15001168.73427213	1.3805307302926668e+28	4.590968438269232e+25	222925602274.66632	
159199.17208879552	14821206.599586431	2.7010271822693896e+28	8.642026632434677e+25	284051826821.326	
155315.71867963017	14583938.668225382	4.652075715508471e+28	1.4132892138627275e+26	345778673222.2904	
150598.49444830717	14290296.913458833	7.327915254077789e+28	2.0876208260215655e+26	408364854226.22107	
145106.58562341682	13942232.572915273	1.0801123903115118e+29	2.854239668772903e+26	472091480036.1815	
138915.19132404123	13542513.924084947	1.5119711822434671e+29	3.6722554141760746e+26	537263734664.0327	
132111.9899743287	13094586.862404052	2.030514365836889e+29	4.4987877674250826e+26	604215762374.8547	
124793.84689819298	12602459.428410526	2.6351364808394157e+29	5.293817607713284e+26	673317188039.8279	
117063.74197631823	12070597.198627777	3.322485868221454e+29	6.023908359660446e+26	744981215814.165	
109027.86792880789	11503823.796600292	4.086571538324561e+29	6.664822361185542e+26	819674685640.5277	
100792.91496249802	10907224.532834698	4.918964623609635e+29	7.202857293411638e+26	897930649957.096	
92463.58205382292	10286053.093393141	5.809083840919148e+29	7.634714046900886e+26	980364265355.6123	
84140.36044734142	9645642.151750388	6.744551155922833e+29	7.965972840736435e+26	1067693118507.0302	
75917.63015585425	8991319.214570707	7.711601530149473e+29	8.208596112016003e+26	1160763576307.3296	
67882.10017352641	8328329.160465199	8.69552930996488e+29	8.378070939901345e+26	1260585452158.0894	
60111.61063248986	7661764.924044688	9.681153494255203e+29	8.490775698356588e+26	1368378353462.7493	
52674.30215742134	6996507.703385736	1.0653284742519454e+30	8.561967608585443e+26	1485634757258.074	
45628.14555797367	6337177.999176522	1.1597178459556991e+30	8.604548992729823e+26	1614207567950.3826	
39020.81473879726	5688098.804104573	1.2498960486577765e+30	8.628566799230995e+26	1756434399578.9666	
32889.87804410599	5053272.452881419	1.3346014695945495e+30	8.641273985965105e+26	1915318520878.648	
27263.278773339447	4436373.178649484	1.4127324986599442e+30	8.647536250258367e+26	2094800112002.7285	
22160.074829146688	3840758.5922524044	1.483376769330636e+30	8.650384540857226e+26	2300177013876.276	
17591.410940242822	3269505.6795215183	1.5458354187788815e+30	8.651565665883882e+26	2538784226119.016	
13561.705210647302	2725481.702027891	1.5996427472365167e+30	8.652004900518175e+26	2821145851159.6396	
10070.044903569522	2211470.2923617233	1.644582096356232e+30	8.65214809561379e+26	3163047829408.515	
7111.800629106161	1730394.57158893	1.680699267676425e+30	8.652187735760836e+26	3589557688392.281	
4680.460043844337	1285729.2623014892	1.7083153927201237e+30	8.652196635431641e+26	4143616698045.624	
2769.523945923849	882320.693243721	1.7280418023635728e+30	8.652198149899386e+26	4906989359566.793	
1373.2136024043311	528184.9185225796	1.7407995719528517e+30	8.652198326350215e+26	6061929467325.567	
475.83869631978985	238872.713491278	1.7478420958254091e+30	8.652198338360547e+26	8133637662661.244	
-144.44754849486458	47885.09371735892	1.7507360256941525e+30	8.652198338714068e+26	13460878497664.523	
nan	nan	1.7504910098599165e+30	8.652198338715907e+26	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
nan	nan	nan	nan	nan	
