radius	opticaldepth	temperature	density	luminosity	mass	opticaldepth_deriv	temperature_deriv	density_deriv	luminosity_deriv	mass_deriv	k_es	k_ff	k_h	opacity	pressure	pressure_temp_grad	pressure_density_grad	energy_pp	energy_cno	energy_He	energy_C	energygen	
0.01	0.0	10000000.0	10000.0	0.021966785347756087	0.04188790204786392	0.0	10000000.0	10000.0	0.021966785347756087	0.04188790204786392	0.034	0.031856353168468375	7.90569415042095e+31	0.034	1388352832843330.5	134974069.4610778	141661625833.16983	5.2430000000000005e-05	9.621539041568245e-09	8.451520000000024e-56	8.000000000000005e-62	5.243962153904157e-05	
0.11	34.0	10000000.0	10000.0	0.024888244369260477	55.75279762570689	34.0	10000000.0	10000.0	0.024888244369260477	55.75279762570689	0.034	0.031856353168468375	7.90569415042095e+31	0.034	1388352832843330.5	134974069.4610778	141661625833.16983	5.2430000000000005e-05	9.621539041568245e-09	8.451520000000024e-56	8.000000000000005e-62	5.243962153904157e-05	
10.625242193061549	3609.1823456409256	10000000.0	9999.999999999987	2634.9252111524797	50246419.96323359	3609.1823456409256	10000000.0	9999.999999999987	2634.9252111524797	50246419.96323359	0.034	0.03185635316846835	7.905694150420944e+31	0.034	1388352832843329.0	134974069.46107763	141661625833.16983	5.242999999999993e-05	9.621539041568232e-09	8.451520000000002e-56	7.999999999999995e-62	5.24396215390415e-05	
916.5599360341189	311626.9782507394	9999999.99999992	9999.999999917107	1691339405.4165976	32253081844125.562	311626.9782507394	9999999.99999992	9999.999999917107	1691339405.4165976	32253081844125.562	0.034	0.031856353168284425	7.905694150387612e+31	0.034	1388352832831577.0	134974069.45996732	141661625833.12622	5.242999999956371e-05	9.621539041486956e-09	8.451519999856915e-56	7.999999999931775e-62	5.2439621538605194e-05	
15363.445438401492	5223568.045001777	9999999.999976808	9999.99997671181	7965518051232.051	1.5189884656379405e+17	5223568.045001777	9999999.999976808	9999.99997671181	7965518051232.051	1.5189884656379405e+17	0.034	0.031856353116795584	7.905694141050471e+31	0.034	1388352829541157.2	134974069.1490899	141661625820.91022	5.242999987741363e-05	9.621539018717364e-09	8.45151995977345e-56	7.999999980812855e-62	5.243962141643235e-05	
90708.00230562153	30840716.549533077	9999999.999191472	9999.999188327278	1639400174984850.5	3.126262193041353e+19	30840716.549533077	9999999.999191472	9999.999188327278	1639400174984850.5	3.126262193041353e+19	0.034	0.031856351367497905	7.905693823826353e+31	0.034	1388352717751323.2	134974058.58723763	141661625405.87686	5.242999572744345e-05	9.621538245133386e-09	8.45151859795995e-56	7.999999331257143e-62	5.2439617265688586e-05	
190708.0023056215	64840709.6309629	9999999.996426096	9999.9964131547	1.5235433021366648e+16	2.905328656959472e+20	64840709.6309629	9999999.996426096	9999.9964131547	1.5235433021366648e+16	2.905328656959472e+20	0.034	0.03185634520984923	7.90569270716696e+31	0.034	1388352324242613.2	134974021.4087265	141661623944.91586	5.24299811192182e-05	9.621535522042013e-09	8.451513804240557e-56	7.999997044750117e-62	5.243960265474024e-05	
290708.0023056215	98840689.92464511	9999999.991695397	9999.991666281561	5.396581996783403e+16	1.0291042054832036e+21	98840689.92464511	9999999.991695397	9999.991666281561	5.396581996783403e+16	1.0291042054832036e+21	0.034	0.03185633467732859	7.9056907971405425e+31	0.034	1388351651154339.8	134973957.81568086	141661621445.96527	5.242995613215023e-05	9.621530864241549e-09	8.451505604668075e-56	7.999993133714939e-62	5.243957766301447e-05	
390708.0023056215	132840650.72703488	9999999.984999375	9999.98494776662	1.3100998816960443e+17	2.498303154989702e+21	132840650.72703488	9999999.984999375	9999.98494776662	1.3100998816960443e+17	2.498303154989702e+21	0.034	0.031856319770065054	7.905688093769806e+31	0.034	1388350698494843.0	134973867.80888793	141661617909.0548	5.242992076654775e-05	9.621524271788663e-09	8.451493999346989e-56	7.999987598198873e-62	5.243954229081953e-05	
490708.0023056215	166840585.33466375	9999999.976338046	9999.97625764232	2.5954727665003773e+17	4.949455363469561e+21	166840585.33466375	9999999.976338046	9999.97625764232	2.5954727665003773e+17	4.949455363469561e+21	0.034	0.03185630048812814	7.905684597066913e+31	0.03400000000000001	1388349466268742.5	134973751.38878235	141661613334.20062	5.2429875022581345e-05	9.621515744715008e-09	8.451478988340017e-56	7.999980438228324e-62	5.243949653832606e-05	
