radius	opticaldepth	temperature	density	luminosity	mass	opticaldepth_deriv	temperature_deriv	density_deriv	luminosity_deriv	mass_deriv	k_es	k_ff	k_h	opacity	pressure	pressure_temp_grad	pressure_density_grad	energy_pp	energy_cno	energy_He	energy_C	energygen	
0.01	0.0	190763.88	315000.0	2.8858527194858592e-06	1.3194689145077134	0.0	190763.88	315000.0	2.8858527194858592e-06	1.3194689145077134	0.034	371772.2161272354	1.4844330304450125e+17	371772.2161263043	1.531344422787294e+16	4219905995.0271025	79319798792.24635	2.1871320254350635e-10	1.8341228746741453e-41	1.8424105126843764e-128	6.550658411527384e-112	2.1871320254350635e-10	
0.11	11710824807.900003	190763.88	315000.0	3.2696711311774786e-06	1756.2131252097674	11710824807.900003	190763.88	315000.0	3.2696711311774786e-06	1756.2131252097674	0.034	371772.2161272354	1.4844330304450125e+17	371772.2161263043	1.531344422787294e+16	4219905995.0271025	79319798792.24635	2.1871320254350635e-10	1.8341228746741453e-41	1.8424105126843764e-128	6.550658411527384e-112	2.1871320254350635e-10	
9.775696256064757	1143643579826.921	190763.8799999934	314999.9999999833	0.2696012542190817	1232657039.0794866	1143643579826.921	190763.8799999934	314999.9999999833	0.2696012542190817	1232657039.0794866	0.034	371772.2161272666	1.4844330304445104e+17	371772.2161263355	1.5313444227871588e+16	4219905995.0268784	79319798792.24353	2.1871320254346445e-10	1.834122874672784e-41	1.84241051268138e-128	6.550658411520251e-112	2.1871320254346445e-10	
350.35475515018084	41028260496528.98	190763.8799915166	314999.99997856206	12410.755277892053	56744426610831.39	41028260496528.98	190763.8799915166	314999.99997856206	12410.755277892053	56744426610831.39	0.034	371772.21616738965	1.4844330298003747e+17	371772.21616645856	1.5313444226136688e+16	4219905994.7399087	79319798788.6498	2.1871320248971604e-10	1.834122872926182e-41	1.8424105088285342e-128	6.550658402342176e-112	2.1871320248971604e-10	
3218.0976529159952	376864605287929.06	190763.87928426193	314999.9981957209	9617713.321639067	4.397408562350874e+16	376864605287929.06	190763.87928426193	314999.9981957209	9617713.321639067	4.397408562350874e+16	0.034	371772.2195186694	1.4844329760679194e+17	371772.2195177383	1.5313444081737536e+16	4219905970.856029	79319798489.52762	2.1871319800833448e-10	1.834122727225646e-41	1.8424101874217696e-128	6.550657636672245e-112	2.1871319800833448e-10	
13454.452883201844	1575626150874123.8	190763.86748912293	314999.9685864082	702865702.3063242	3.213640307795703e+18	1575626150874123.8	190763.86748912293	314999.9685864082	702865702.3063242	3.213640307795703e+18	0.034	371772.2755114189	1.484432080244421e+17	371772.2755104878	1.5313441683358516e+16	4219905574.1940713	79319793521.06717	2.1871312335667753e-10	1.8341202980479997e-41	1.8424048286620146e-128	6.550644869907269e-112	2.1871312335667753e-10	
35949.699805637356	4210004353965742.5	190763.7906805321	314999.776433623	13407873807.222479	6.13034320016074e+19	4210004353965742.5	190763.7906805321	314999.776433623	13407873807.222479	6.13034320016074e+19	0.034	371772.6406750313	1.484426248310783e+17	371772.6406741002	1.5313426117717468e+16	4219903000.014099	79319761274.19046	2.1871263769217163e-10	1.8341044834378448e-41	1.842369941123056e-128	6.550561748506358e-112	2.1871263769217163e-10	
73269.40192192851	8580446784757395.0	190763.50897720427	314999.07330587675	113511724081.60141	5.18998788828975e+20	8580446784757395.0	190763.50897720427	314999.07330587675	113511724081.60141	5.18998788828975e+20	0.034	371773.98128572205	1.4844048630741213e+17	371773.98128479096	1.5313369157074588e+16	4219893580.5442686	79319643267.35037	2.187108575948219e-10	1.8340464922420753e-41	1.8422420119089198e-128	6.550256934563061e-112	2.187108575948219e-10	
125211.35267023135	1.4663275513883602e+16	190762.79646739343	314997.29766519036	566499233952.3114	2.590168741290101e+21	1.4663275513883602e+16	190762.79646739343	314997.29766519036	566499233952.3114	2.590168741290101e+21	0.034	371777.3744013584	1.484350781343592e+17	371777.3744004272	1.5313225307446262e+16	4219869793.125889	79319345244.00621	2.1870635718737373e-10	1.8338998395475431e-41	1.8419185128654096e-128	6.549486090201236e-112	2.1870635718737373e-10	
177153.3034185342	2.0746121812789576e+16	190761.71103785632	314994.59717107494	1604378353943.224	7.335715197752959e+21	2.0746121812789576e+16	190761.71103785632	314994.59717107494	1604378353943.224	7.335715197752959e+21	0.034	371782.54723014904	1.4842684078147155e+17	371782.54722921783	1.5313006526281544e+16	4219833615.883584	79318891968.14656	2.1869950458018342e-10	1.833676478088268e-41	1.841425857378115e-128	6.548312056633482e-112	2.1869950458018342e-10	
229095.25416683702	2.6828996532680988e+16	190760.25269433655	314990.9725755343	3469720567943.04	1.586499617232335e+22	2.6828996532680988e+16	190760.25269433655	314990.9725755343	3469720567943.04	1.586499617232335e+22	0.034	371789.5004522934	1.484157748869895e+17	371789.50045136205	1.531271287455044e+16	4219785058.8915944	79318283560.73477	2.1869030049708828e-10	1.833376440015444e-41	1.840764189460435e-128	6.546735065213108e-112	2.1869030049708828e-10	
281037.2049151399	3.2911910796974548e+16	190758.42144453683	314986.42409292393	6405032071869.799	2.9287302966401256e+22	3.2911910796974548e+16	190758.42144453683	314986.42409292393	6405032071869.799	2.9287302966401256e+22	0.034	371798.23432423355	1.4840188112065984e+17	371798.23432330205	1.531234437102862e+16	4219724125.0215387	79317520054.97206	2.1867874535776865e-10	1.8329997638771792e-41	1.8399336931790581e-128	6.544755410094915e-112	2.1867874535776865e-10	
332979.15566344274	3.899487581669637e+16	190756.21729812663	314980.9518525479	10652733865609.13	4.871184065169086e+22	3.899487581669637e+16	190756.21729812663	314980.9518525479	10652733865609.13	4.871184065169086e+22	0.034	371808.7490525248	1.4838516029037277e+17	371808.7490515932	1.5311901028197214e+16	4219650816.0056424	79316601469.82805	2.186648395920167e-10	1.8325464972473935e-41	1.83893459786798e-128	6.542373457565929e-112	2.186648395920167e-10	
384921.1064117456	4.507790284013162e+16	190753.64026674328	314974.5559512646	16455141853133.736	7.524770855496264e+22	4.507790284013162e+16	190753.64026674328	314974.5559512646	16455141853133.736	7.524770855496264e+22	0.034	371821.044837293	1.4836561335449117e+17	371821.0448363612	1.5311382856415398e+16	4219565133.1414733	79315527818.5876	2.18648583676248e-10	1.832016697022593e-41	1.8377671786399777e-128	6.5395896470290265e-112	2.18648583676248e-10	
436863.05716004845	5.116100313430593e+16	190750.69036399212	314967.2364736756	24054446952902.43	1.1000388074504005e+23	5.116100313430593e+16	190750.69036399212	314967.2364736756	24054446952902.43	1.1000388074504005e+23	0.034	371835.1218889167	1.4834324142652157e+17	371835.1218879847	1.5310789865521632e+16	4219467077.562396	79314299112.1307	2.1862997814749755e-10	1.8314104295277296e-41	1.836431756497361e-128	6.536404491288958e-112	2.1862997814749755e-10	
488805.0079083513	5.724418797687751e+16	190747.3676054462	314958.99350106437	33692695220748.695	1.5408918652243874e+23	5.724418797687751e+16	190747.3676054462	314958.99350106437	33692695220748.695	1.5408918652243874e+23	0.034	371850.9804354195	1.4831804577711533e+17	371850.9804344872	1.5310122065542654e+16	4219356650.3573275	79312915360.385	2.186090236095998e-10	1.830727770554533e-41	1.8349286982900475e-128	6.532818576581516e-112	2.186090236095998e-10	
540746.9586566541	6.332746865214117e+16	190743.67200864645	314949.8271158245	45611767987321.11	2.0861229091204473e+23	6.332746865214117e+16	190743.67200864645	314949.8271158245	45611767987321.11	2.0861229091204473e+23	0.034	371868.62072613183	1.4829002783499632e+17	371868.6207251993	1.5309379467044482e+16	4219233852.6300564	79311376573.0449	2.1858572073623335e-10	1.8299688053716559e-41	1.8332584166000262e-128	6.528832562486944e-112	2.1858572073623335e-10	
592688.909404957	6.941085644888607e+16	190739.6035931013	314939.73740385013	60053362012098.625	2.7468167515921582e+23	6.941085644888607e+16	190739.6035931013	314939.73740385013	60053362012098.625	2.7468167515921582e+23	0.034	371888.0430336749	1.482591891873895e+17	371888.04303274205	1.530856208132196e+16	4219098685.5312657	79309682759.96048	2.1856007027254647e-10	1.8291336287209295e-41	1.8314213695810928e-128	6.524447181777956e-112	2.1856007027254647e-10	
644630.8601532598	7.549436265917592e+16	190735.16238028652	314928.72445591656	77258969655990.62	3.534056172296954e+23	7.549436265917592e+16	190735.16238028652	314928.72445591656	77258969655990.62	3.534056172296954e+23	0.034	371909.2476551091	1.4822553158019888e+17	371909.24765417597	1.5307669920508072e+16	4218951150.277028	79307833931.36145	2.1853207303607768e-10	1.8282223448058112e-41	1.8294180607660656e-128	6.519663240224884e-112	2.1853207303607768e-10	
