radius	opticaldepth	temperature	density	luminosity	mass	opticaldepth_deriv	temperature_deriv	density_deriv	luminosity_deriv	mass_deriv	k_es	k_ff	k_h	opacity	pressure	pressure_temp_grad	pressure_density_grad	energy_pp	energy_cno	energy_He	energy_C	energygen	
0.01	0.0	2479166673.0	11275250.028802302	2.874767407136277e+19	47.22965687716456	0.0	2479166673.0	11275250.028802302	2.874767407136277e+19	47.22965687716456	0.034	1.8180856805605965e-08	9.391925206700047e+54	0.034	9.907375806514087e+21	15522761540991.227	34045973349088.82	223320678.85667828	4.808998677081043e+42	2.4023655496808022e+56	60867844426924.5	60867844426924.5	
0.11	38335.8	2479166673.0	11275250.028802302	3.257111472285402e+19	62862.67330350605	38335.8	2479166673.0	11275250.028802302	3.257111472285402e+19	62862.67330350605	0.034	1.8180856805605965e-08	9.391925206700047e+54	0.034	9.907375806514087e+21	15522761540991.227	34045973349088.82	223320678.85667828	4.808998677081043e+42	2.4023655496808022e+56	60867844426924.5	60867844426924.5	
11.264057039031117	4314338.386320329	2479166673.0	11275250.028802238	4.108566056112701e+24	67499306899.98218	4314338.386320329	2479166673.0	11275250.028802238	4.108566056112701e+24	67499306899.98218	0.034	1.8180856805605892e-08	9.39192520670002e+54	0.034	9.907375806514085e+21	15522761540991.225	34045973349088.816	223320678.85667706	4.808998677081015e+42	2.402365549680775e+56	60867844426924.164	60867844426924.164	
709.9664945390161	272167857.4550867	2479166672.9991035	11275250.028557487	1.0287652190549237e+30	1.690162069410594e+16	272167857.4550867	2479166672.9991035	11275250.028557487	1.0287652190549237e+30	1.690162069410594e+16	0.034	1.8180856805352643e-08	9.391925206567522e+54	0.034	9.907375806491837e+21	15522761540971.273	34045973349064.74	223320678.85150626	4.80899867694201e+42	2.402365549538261e+56	60867844424942.83	60867844424942.83	
9078.218607992334	3480208440.272868	2479166672.853408	11275249.994209278	2.1508227681717244e+33	3.533594414652196e+19	3480208440.272868	2479166672.853408	11275249.994209278	2.1508227681717244e+33	3.533594414652196e+19	0.034	1.818085677032272e-08	9.391925187294535e+54	0.034	9.907375803060818e+21	15522761537801.027	34045973345419.67	223320678.1186999	4.808998656668141e+42	2.402365528689412e+56	60867844132206.26	60867844132206.26	
45349.607744657274	17385153565.06763	2479166669.3418818	11275249.470577609	2.6811638857718505e+35	4.404893269687921e+21	17385153565.06763	2479166669.3418818	11275249.470577609	2.6811638857718505e+35	4.404893269687921e+21	0.034	1.818085626941986e-08	9.391924849484582e+54	0.034	9.907375730724685e+21	15522761465468.062	34045973272564.062	223320666.4822503	4.8089982977849016e+42	2.4023651558331377e+56	60867838719032.99	60867838719032.99	
134722.3825847232	51646963279.77868	2479166640.7157884	11275247.503346276	7.029462398348001e+36	1.1548724760252328e+23	51646963279.77868	2479166640.7157884	11275247.503346276	7.029462398348001e+36	1.1548724760252328e+23	0.034	1.8180854783714964e-08	9.391923054155827e+54	0.034	9.90737521939237e+21	15522760906638.22	34045972792095.664	223320617.2043009	4.808996353738289e+42	2.4023630970073396e+56	60867807014613.9	60867807014613.9	
234722.3825847232	89982807435.8809	2479166575.0014443	11275249.190167736	3.7176294017297384e+37	6.107708100514843e+23	89982807435.8809	2479166575.0014443	11275249.190167736	3.7176294017297384e+37	6.107708100514843e+23	0.034	1.818085837436041e-08	9.391921516156458e+54	0.034	9.907374256753836e+21	15522759706879.139	34045971994906.547	223320626.93603814	4.808994536524993e+42	2.402361013958305e+56	60867767718682.59	60867767718682.59	
334722.3825847232	128318663987.17227	2479166473.7123938	11275255.85154321	1.0780941181925307e+38	1.771206161850106e+24	128318663987.17227	2479166473.7123938	11275255.85154321	1.0780941181925307e+38	1.771206161850106e+24	0.034	1.8180868492985418e-08	9.391920837057177e+54	0.034	9.907372911261334e+21	15522757912034.586	34045970966369.36	223320722.3769886	4.808993467773836e+42	2.4023595339224945e+56	60867729074566.27	60867729074566.27	
434722.3825847232	166654551503.38934	2479166336.8484945	11275267.908730816	2.361774324601376e+38	3.8801728582765803e+24	166654551503.38934	2479166336.8484945	11275267.908730816	2.361774324601376e+38	3.8801728582765803e+24	0.034	1.8180885615077156e-08	9.391921192296099e+54	0.034	9.907371197254974e+21	15522755527745.473	34045969727248.715	223320911.87058365	4.8089933271449413e+42	2.4023588363990213e+56	60867693356201.43	60867693356201.43	
534722.3825847232	204990488953.768	2479166164.4095163	11275285.520240486	4.395290777550059e+38	7.221052555267081e+24	204990488953.768	2479166164.4095163	11275285.520240486	4.395290777550059e+38	7.221052555267081e+24	0.034	1.8180909919555217e-08	9.391922647874721e+54	0.034	9.907369120128039e+21	15522752556131.225	34045968285355.258	223321198.5561229	4.808994182227378e+42	2.402358988915354e+56	60867661419003.89	60867661419003.89	
634722.3825847232	243326495529.76498	2479165956.39514	11275308.764303578	7.351132352143874e+38	1.2077229873169558e+25	243326495529.76498	2479165956.39514	11275308.764303578	7.351132352143874e+38	1.2077229873169558e+25	0.034	1.8180941494728648e-08	9.391925236353538e+54	0.034	9.907366682539338e+21	15522748998234.203	34045966644540.832	223321583.98281786	4.808996066364227e+42	2.4023600247831543e+56	60867633684903.83	60867633684903.83	
734722.3825847232	281662590553.9939	2479165712.8049583	11275337.684806643	1.1401790190666571e+39	1.873209326384557e+25	281662590553.9939	2479165712.8049583	11275337.684806643	1.1401790190666571e+39	1.873209326384557e+25	0.034	1.818098039014229e-08	9.391928975982686e+54	0.034	9.907363885977046e+21	15522744854635.094	34045964806962.87	223322069.01956692	4.808998998243593e+42	2.4023619626722003e+56	60867610390313.5	60867610390313.5	
