radius	opticaldepth	temperature	density	luminosity	mass	opticaldepth_deriv	temperature_deriv	density_deriv	luminosity_deriv	mass_deriv	k_es	k_ff	k_h	opacity	pressure	pressure_temp_grad	pressure_density_grad	energy_pp	energy_cno	energy_He	energy_C	energygen	
0.01	0.0	2935077632.0	27369129.30597614	2.680947690560502e+22	114.64354075040502	0.0	2935077632.0	27369129.30597614	2.680947690560502e+22	114.64354075040502	0.034	1.8733122364903844e-08	6.68569920957181e+55	0.034	1.9817327769215157e+22	25873913783340.598	40825733953129.555	1064925459.4664525	3.358423210466843e+44	2.38077780659405e+60	2.338507405661257e+16	2.338507405661257e+16	
0.11	93055.0	2935077632.0	27369129.30597614	3.037513733405049e+22	152590.55273878912	93055.0	2935077632.0	27369129.30597614	3.037513733405049e+22	152590.55273878912	0.034	1.8733122364903844e-08	6.68569920957181e+55	0.034	1.9817327769215157e+22	25873913783340.598	40825733953129.555	1064925459.4664525	3.358423210466843e+44	2.38077780659405e+60	2.338507405661257e+16	2.338507405661257e+16	
11.2530860911953	10462258.179316612	2935077631.999999	27369129.30597584	3.820377793223964e+27	163367068121.28394	10462258.179316612	2935077631.999999	27369129.30597584	3.820377793223964e+27	163367068121.28394	0.034	1.873312236490372e-08	6.685699209571753e+55	0.034	1.981732776921512e+22	25873913783340.57	40825733953129.53	1064925459.4664395	3.358423210466786e+44	2.3807778065939593e+60	2.33850740566121e+16	2.33850740566121e+16	
611.9961541696649	569483958.3105562	2935077631.997677	27369129.305085	6.145177325257776e+32	2.62782033939904e+16	569483958.3105562	2935077631.997677	27369129.305085	6.145177325257776e+32	2.62782033939904e+16	0.034	1.8733122364528777e-08	6.685699209415341e+55	0.034	1.9817327769118667e+22	25873913783268.094	40825733953065.74	1064925459.4284067	3.3584232103045907e+44	2.3807778063561e+60	2.3385074055295892e+16	2.3385074055295892e+16	
7104.12395403974	6610736048.5824795	2935077631.6869397	27369129.203945257	9.612136645587613e+35	4.110372504142553e+19	6610736048.5824795	2935077631.6869397	27369129.203945257	9.612136645587613e+35	4.110372504142553e+19	0.034	1.8733122323011854e-08	6.685699190691845e+55	0.034	1.9817327756949573e+22	25873913773811.797	40825733945193.05	1064925455.0421114	3.3584231908183124e+44	2.3807777776699156e+60	2.338507389460534e+16	2.338507389460534e+16	
33635.46622043219	31299486639.218903	2935077624.9821734	27369127.845119584	1.0201892601828806e+38	4.3625652956152684e+21	31299486639.218903	2935077624.9821734	27369127.845119584	1.0201892601828806e+38	4.3625652956152684e+21	0.034	1.8733121821742908e-08	6.685698887272929e+55	0.034	1.9817327527995977e+22	25873913580805.145	40825733805529.484	1064925392.439889	3.3584228714093494e+44	2.3807773019716226e+60	2.3385071130984588e+16	2.3385071130984588e+16	
96905.46253903402	90175400887.50009	2935077573.748889	27369123.04273274	2.4396821932276768e+39	1.0432642879693708e+23	90175400887.50009	2935077573.748889	27369123.04273274	2.4396821932276768e+39	1.0432642879693708e+23	0.034	1.873312066529445e-08	6.68569725039161e+55	0.034	1.9817326006329472e+22	25873912180742.844	40825732943025.42	1064925131.225051	3.3584211155188124e+44	2.3807746379376287e+60	2.338505478172258e+16	2.338505478172258e+16	
196905.46253903402	183230421341.45062	2935077391.4955134	27369121.75933578	2.0467348589984839e+40	8.75231322137348e+23	183230421341.45062	2935077391.4955134	27369121.75933578	2.0467348589984839e+40	8.75231322137348e+23	0.034	1.8733124121699493e-08	6.685693357309395e+55	0.034	1.9817321238326453e+22	25873907411936.914	40825730454386.98	1064924816.7827443	3.3584168080748638e+44	2.3807679099723176e+60	2.3385010122402788e+16	2.3385010122402788e+16	
296905.462539034	276285463973.40466	2935077085.180286	27369142.832193263	7.016849992659617e+40	3.0005730580437963e+24	276285463973.40466	2935077085.180286	27369142.832193263	7.016849992659617e+40	3.0005730580437963e+24	0.034	1.873314106089952e-08	6.685689651447241e+55	0.034	1.981731417307056e+22	25873899708153.99	40825727123798.6	1064925192.163891	3.358412419010288e+44	2.380760643644427e+60	2.338495491143604e+16	2.338495491143604e+16	
396905.462539034	369340615411.675	2935076654.8024592	27369188.870691642	1.6762868441515827e+41	7.16821770159273e+24	369340615411.675	2935076654.8024592	27369188.870691642	1.6762868441515827e+41	7.16821770159273e+24	0.034	1.8733172733142255e-08	6.685686451490065e+55	0.034	1.98173049170752e+22	25873889104333.336	40825723046964.29	1064926358.8964611	3.358408268492807e+44	2.380753292885244e+60	2.338489137818739e+16	2.338489137818739e+16	
