radius	opticaldepth	temperature	density	luminosity	mass	opticaldepth_deriv	temperature_deriv	density_deriv	luminosity_deriv	mass_deriv	k_es	k_ff	k_h	opacity	pressure	pressure_temp_grad	pressure_density_grad	energy_pp	energy_cno	energy_He	energy_C	energygen	
0.01	0.0	7820706.01	116375.0	1.112688558168572	0.48747046008201633	0.0	7820706.01	116375.0	1.112688558168572	0.48747046008201633	0.034	0.4196980789570327	2.951776700876284e+31	0.4196980789570327	1.4953333822213256e+16	1559503374.059065	144294062889.31393	0.00022825662621630118	8.408119103176474e-10	2.298669189690273e-58	5.838865843911804e-64	0.0002282574670282115	
0.11	4884.2	7820706.01	116375.0	1.2606760255528713	648.8231823691638	4884.2	7820706.01	116375.0	1.2606760255528713	648.8231823691638	0.034	0.4196980789570327	2.951776700876284e+31	0.4196980789570327	1.4953333822213256e+16	1559503374.059065	144294062889.31393	0.00022825662621630118	8.408119103176474e-10	2.298669189690273e-58	5.838865843911804e-64	0.0002282574670282115	
11.431986707602691	557876.7952809955	7820706.009999949	116374.99999999831	166242.22230762496	728305241.8599682	557876.7952809955	7820706.009999949	116374.99999999831	166242.22230762496	728305241.8599682	0.034	0.4196980789570381	2.9517767008760886e+31	0.4196980789570381	1.4953333822212934e+16	1559503374.0590425	144294062889.31287	0.000228256626216292	8.40811910317527e-10	2.2986691896895423e-58	5.838865843910593e-64	0.00022825746702820232	
549.7919061251351	26852647.908763316	7820706.009880289	116374.99999609849	18491337399.60332	81010876168142.12	26852647.908763316	7820706.009880289	116374.99999609849	18491337399.60332	81010876168142.12	0.034	0.4196980789696683	2.9517767004201626e+31	0.4196980789696684	1.4953333821463604e+16	1559503374.0067763	144294062886.82687	0.00022825662619467332	8.408119100333439e-10	2.298669187987978e-58	5.8388658410348276e-64	0.00022825746700658335	
5987.746905399115	292455224.32015467	7820705.995800748	116374.99955215763	23887109870556.656	1.0464984935488125e+17	292455224.32015467	7820705.995800748	116374.99955215763	23887109870556.656	1.0464984935488125e+17	0.034	0.4196980804934642	2.95177664696353e+31	0.4196980804934642	1.495333373544848e+16	1559503368.0569046	144294062597.69455	0.00022825662368021983	8.408118767031208e-10	2.2986689883663494e-58	5.838865503411448e-64	0.00022825746449209653	
27539.612597260057	1345099244.1582088	7820705.709631577	116374.99112845886	2324057276306478.5	1.0181734466664985e+19	1345099244.1582088	7820705.709631577	116374.99112845886	2324057276306478.5	1.0181734466664985e+19	0.034	0.41969811297826654	2.9517755680509006e+31	0.4196981129782665	1.4953332073677018e+16	1559503255.1556256	144294056856.7603	0.00022825657374932242	8.408112035919633e-10	2.2986649547071956e-58	5.8388586712380075e-64	0.000228257414560526	
77841.68844921929	3801970920.4637156	7820703.610266314	116374.93319386593	5.24819599209736e+16	2.2992431792851226e+20	3801970920.4637156	7820703.610266314	116374.93319386593	5.24819599209736e+16	2.2992431792851226e+20	0.034	0.4196983610409431	2.9517677020368482e+31	0.4196983610409431	1.4953320440094622e+16	1559502478.6446874	144294015615.2298	0.000228256215027434	8.408062935042022e-10	2.2986355161810322e-58	5.83880874376672e-64	0.0002282570558337275	
164526.96690967766	8035881730.308854	7820695.289563049	116374.71386391102	4.955455988141639e+17	2.1709956551427783e+21	8035881730.308854	7820695.289563049	116374.71386391102	4.955455988141639e+17	2.1709956551427783e+21	0.034	0.4196993702013819	2.951736656265146e+31	0.4196993702013819	1.4953275815967214e+16	1559499538.8448346	144293854486.8416	0.00022825481344290093	8.407869072905898e-10	2.2985192485278326e-58	5.838611379676531e-64	0.00022825565422980823	
264526.96690967766	12920114436.700703	7820678.297370927	116374.28612175629	2.0595808171994184e+18	9.023116378515343e+21	12920114436.700703	7820678.297370927	116374.28612175629	2.0595808171994184e+18	9.023116378515343e+21	0.034	0.4197014819815796	2.9516735125134497e+31	0.4197014819815795	1.4953187596205316e+16	1559493805.4402077	144293530002.6239	0.0002282519907560856	8.407474645737466e-10	2.2982826259036668e-58	5.8382093626237046e-64	0.00022825283150355017	
364526.96690967766	17804351889.395645	7820653.384472833	116373.67764029966	5.389549567592688e+18	2.361208266738777e+22	17804351889.395645	7820653.384472833	116373.67764029966	5.389549567592688e+18	2.361208266738777e+22	0.034	0.41970462524431346	2.951581173719308e+31	0.41970462524431346	1.4953060945002796e+16	1559485649.2905223	144293058485.9005	0.000228247888931631	8.406897740016201e-10	2.297936483987743e-58	5.837620933974617e-64	0.000228248729621405	
