radius	opticaldepth	temperature	density	luminosity	mass	opticaldepth_deriv	temperature_deriv	density_deriv	luminosity_deriv	mass_deriv	k_es	k_ff	k_h	opacity	pressure	pressure_temp_grad	pressure_density_grad	energy_pp	energy_cno	energy_He	energy_C	energygen	
0.01	0.0	988016043.0	5014.901151880622	2.6267963973299624e+34	0.02100636882296954	0.0	988016043.0	5014.901151880622	2.6267963973299624e+34	0.02100636882296954	0.034	2.0497728361467275e-09	5.022814809739846e+49	0.034	2.4039256348161065e+20	973031835687.5188	13240841572058.941	2505.5220030432124	2.3950272260316613e+31	1.2504761862781711e+32	0.027942950430413453	1.2504761862781711e+32	
0.11	17.0	988016043.0	5014.901151880622	2.9761603181748477e+34	27.95947690337247	17.0	988016043.0	5014.901151880622	2.9761603181748477e+34	27.95947690337247	0.034	2.0497728361467275e-09	5.022814809739846e+49	0.034	2.4039256348161065e+20	973031835687.5188	13240841572058.941	2505.5220030432124	2.3950272260316613e+31	1.2504761862781711e+32	0.027942950430413453	1.2504761862781711e+32	
11.725804797156744	1997.5718371475818	988016043.0	5014.901151880622	4.235035798001205e+39	33867174.59425445	1997.5718371475818	988016043.0	5014.901151880622	4.235035798001205e+39	33867174.59425445	0.034	2.0497728361467275e-09	5.022814809739846e+49	0.034	2.4039256348161065e+20	973031835687.5188	13240841572058.941	2505.5220030432124	2.3950272260316613e+31	1.2504761862781711e+32	0.027942950430413453	1.2504761862781711e+32	
1269.6575062859433	216483.27855577346	988016043.0	5014.901151880221	5.37633306773224e+45	42994285910444.125	216483.27855577346	988016043.0	5014.901151880221	5.37633306773224e+45	42994285910444.125	0.034	2.049772836146613e-09	5.022814809739644e+49	0.034	2.4039256348161065e+20	973031835687.5188	13240841572058.941	2505.522003043012	2.3950272260314695e+31	1.2504761862779708e+32	0.027942950430411218	1.2504761862779708e+32	
45250.95542754472	7715586.572946778	988016042.9999881	5014.901151386946	2.4339389016447034e+50	1.9464096377858673e+18	7715586.572946778	988016042.9999881	5014.901151386946	2.4339389016447034e+50	1.9464096377858673e+18	0.034	2.049772836005566e-09	5.022814809492074e+49	0.034	2.4039256348159256e+20	973031835687.4769	13240841572058.463	2505.522002796443	2.395027225795315e+31	1.2504761860313099e+32	0.027942950427652623	1.2504761860313099e+32	
145250.95542754472	24766250.486496318	988016042.999878	5014.901150081482	8.049768773170196e+51	6.437362705998916e+19	24766250.486496318	988016042.999878	5014.901150081482	8.049768773170196e+51	6.437362705998916e+19	0.034	2.049772835632852e-09	5.022814808833277e+49	0.034	2.403925634814682e+20	973031835687.1346	13240841572056.145	2505.5220021430982	2.3950272251665446e+31	1.2504761853741362e+32	0.027942950420285155	1.2504761853741362e+32	
245250.95542754472	41816914.39885732	988016042.9996524	5014.901151506265	3.8748824825106603e+52	3.0987255295099594e+20	41816914.39885732	988016042.9996524	5014.901151506265	3.8748824825106603e+52	3.0987255295099594e+20	0.034	2.049772836042142e-09	5.022814809536468e+49	0.034	2.403925634812675e+20	973031835686.4868	13240841572054.043	2505.5220028526523	2.3950272258361096e+31	1.2504761860721185e+32	0.027942950428032607	1.2504761860721185e+32	
345250.9554275447	58867578.32002871	988016042.9993112	5014.901155749542	1.0810134050486788e+53	8.644814005243268e+20	58867578.32002871	988016042.9993112	5014.901155749542	1.0810134050486788e+53	8.644814005243268e+20	0.034	2.0497728372586873e-09	5.022814811645845e+49	0.034	2.403925634809917e+20	973031835685.5359	13240841572052.213	2505.522004969199	2.3950272278461652e+31	1.250476188169256e+32	0.027942950451386613	1.250476188169256e+32	
445250.9554275447	75918242.26029727	988016042.9988544	5014.90116298773	2.318680945285183e+53	1.854238383747716e+21	75918242.26029727	988016042.9988544	5014.90116298773	2.318680945285183e+53	1.854238383747716e+21	0.034	2.0497728393329623e-09	5.022814815249747e+49	0.034	2.40392563480643e+20	973031835684.2832	13240841572050.768	2505.5220085808737	2.3950272312809535e+31	1.2504761917535375e+32	0.02794295049133006	1.2504761917535375e+32	
545250.9554275447	92968906.23014641	988016042.998282	5014.901173297326	4.258098660505219e+53	3.405181717818077e+21	92968906.23014641	988016042.998282	5014.901173297326	4.258098660505219e+53	3.405181717818077e+21	0.034	2.049772842286854e-09	5.02281482038649e+49	0.034	2.4039256348022256e+20	973031835682.7303	13240841572049.758	2505.522013725901	2.3950272361770197e+31	1.250476196863094e+32	0.027942950548289283	1.250476196863094e+32	
645250.9554275447	110019570.24016927	988016042.9975939	5014.901186716662	7.056874348422472e+53	5.643349619637921e+21	110019570.24016927	988016042.9975939	5014.901186716662	7.056874348422472e+53	5.643349619637921e+21	0.034	2.04977284613133e-09	5.022814827075264e+49	0.034	2.4039256347973072e+20	973031835680.8771	13240841572049.205	2505.5220204234292	2.395027242552665e+31	1.250476203517061e+32	0.027942950622477872	1.250476203517061e+32	
745250.9554275447	127070234.30102412	988016042.9967903	5014.901203267469	1.0872615814707822e+54	8.694780308293228e+21	127070234.30102412	988016042.9967903	5014.901203267469	1.0872615814707822e+54	8.694780308293228e+21	0.034	2.0497728508726074e-09	5.022814835326959e+49	0.034	2.4039256347916793e+20	973031835678.7249	13240841572049.129	2505.522028684316	2.3950272504182674e+31	1.2504762117262656e+32	0.027942950714016816	1.2504762117262656e+32	
845250.9554275447	144120898.42341077	988016042.9958712	5014.901222963212	1.5862930874780074e+54	1.2685512005532061e+22	144120898.42341077	988016042.9958712	5014.901222963212	1.5862930874780074e+54	1.2685512005532061e+22	0.034	2.0497728565145392e-09	5.022814845148319e+49	0.034	2.403925634785344e+20	973031835676.2733	13240841572049.535	2505.5220385152907	2.3950272597802683e+31	1.2504762214974335e+32	0.027942950822981413	1.2504762214974335e+32	
945250.9554275447	161171562.6180569	988016042.9948363	5014.901245812795	2.218542735559824e+54	1.7741582936243614e+22	161171562.6180569	988016042.9948363	5014.901245812795	2.218542735559824e+54	1.7741582936243614e+22	0.034	2.0497728630596736e-09	5.02281485654379e+49	0.034	2.4039256347782998e+20	973031835673.5222	13240841572050.43	2505.5220499207976	2.395027270642899e+31	1.250476232834985e+32	0.027942950949420915	1.250476232834985e+32	
1045250.9554275447	178222226.8957098	988016042.9936858	5014.90127182241	2.999771309745463e+54	2.3989031328937536e+22	178222226.8957098	988016042.9936858	5014.90127182241	2.999771309745463e+54	2.3989031328937536e+22	0.034	2.0497728705097817e-09	5.02281486951648e+49	0.034	2.403925634770549e+20	973031835670.4717	13240841572051.814	2505.5220629039322	2.395027283009127e+31	1.2504762457420186e+32	0.027942951093369917	1.2504762457420186e+32	
1145250.9554275447	195272891.2671312	988016042.9924198	5014.901300996534	3.945739595576898e+54	3.1553895416223425e+22	195272891.2671312	988016042.9924198	5014.901300996534	3.945739595576898e+54	3.1553895416223425e+22	0.034	2.0497728788661435e-09	5.022814884068637e+49	0.034	2.4039256347620937e+20	973031835667.1223	13240841572053.693	2505.5220774669324	2.395027296881096e+31	1.2504762602207756e+32	0.027942951254853538	1.2504762602207756e+32	
1245250.9554275447	212323555.7430935	988016042.9910383	5014.9013333385055	5.072208380288297e+54	4.056221343529049e+22	212323555.7430935	988016042.9910383	5014.9013333385055	5.072208380288297e+54	4.056221343529049e+22	0.034	2.0497728881297143e-09	5.022814900201931e+49	0.034	2.403925634752933e+20	973031835663.4741	13240841572056.072	2505.522093611468	2.3950273122604063e+31	1.2504762762729219e+32	0.027942951433890303	1.2504762762729219e+32	
1345250.9554275447	229374220.3343774	988016042.9895413	5014.901368850883	6.394938452985496e+54	5.114002362838723e+22	229374220.3343774	988016042.9895413	5014.901368850883	6.394938452985496e+54	5.114002362838723e+22	0.034	2.0497728983012268e-09	5.022814917917645e+49	0.034	2.403925634743069e+20	973031835659.5273	13240841572058.953	2505.5221113388147	2.3950273291482676e+31	1.2504762938997334e+32	0.027942951630494546	1.2504762938997334e+32	
1445250.9554275447	246424885.05177024	988016042.9879285	5014.901407535668	7.929690604825485e+54	6.3413364243301275e+22	246424885.05177024	988016042.9879285	5014.901407535668	7.929690604825485e+54	6.3413364243301275e+22	0.034	2.049772909381254e-09	5.022814937216769e+49	0.034	2.4039256347324983e+20	973031835655.281	13240841572062.33	2505.5221306499698	2.395027347545626e+31	1.2504763131021782e+32	0.027942951844677252	1.2504763131021782e+32	
1545250.9554275447	263475549.90606436	988016042.9862002	5014.901449394457	9.692225629195953e+54	7.750827353383921e+22	263475549.90606436	988016042.9862002	5014.901449394457	9.692225629195953e+54	7.750827353383921e+22	0.034	2.049772921370252e-09	5.022814958100114e+49	0.034	2.4039256347212235e+20	973031835650.7358	13240841572066.209	2505.522151545735	2.3950273674532663e+31	1.2504763338810927e+32	0.027942952076447296	1.2504763338810927e+32	
1645250.9554275447	280526214.90805656	988016042.9843564	5014.9014944285445	1.1698304321894834e+55	9.355078976030649e+22	280526214.90805656	988016042.9843564	5014.9014944285445	1.1698304321894834e+55	9.355078976030649e+22	0.034	2.049772934268591e-09	5.022814980568328e+49	0.034	2.403925634709246e+20	973031835645.892	13240841572070.594	2505.522174026758	2.3950273888718e+31	1.2504763562371026e+32	0.027942952325812186	1.2504763562371026e+32	
1745250.9554275447	297576880.0685469	988016042.982397	5014.901542638992	1.3963687481309867e+55	1.1166695118998741e+23	297576880.0685469	988016042.982397	5014.901542638992	1.3963687481309867e+55	1.1166695118998741e+23	0.034	2.0497729480765753e-09	5.022815004621939e+49	0.034	2.4039256346965636e+20	973031835640.7491	13240841572075.479	2505.5221980935653	2.395027411801724e+31	1.2504763801707462e+32	0.02794295259277755	1.2504763801707462e+32	
1845250.9554275447	314627545.39833856	988016042.9803218	5014.901594026684	1.650413590859814e+55	1.3198279609762495e+23	314627545.39833856	988016042.9803218	5014.901594026684	1.650413590859814e+55	1.3198279609762495e+23	0.034	2.0497729627944585e-09	5.022815030261381e+49	0.034	2.4039256346831752e+20	973031835635.3068	13240841572080.865	2505.522223746599	2.3950274362434655e+31	1.2504764056824358e+32	0.027942952877348215	1.2504764056824358e+32	
