radius	opticaldepth	temperature	density	luminosity	mass	opticaldepth_deriv	temperature_deriv	density_deriv	luminosity_deriv	mass_deriv	k_es	k_ff	k_h	opacity	pressure	pressure_temp_grad	pressure_density_grad	energy_pp	energy_cno	energy_He	energy_C	energygen	
0.01	0.0	3509443.87	80000.0	0.021320709057555603	0.33510321638291135	0.0	3509443.87	80000.0	0.021320709057555603	0.33510321638291135	0.034	5.333655925025576	1.8056339360073232e+28	5.333655925025576	5238887428954104.0	1071765759.0505432	77799784858.67589	6.362430443799623e-06	6.863991190250293e-17	5.291758651105523e-74	1.4565620655891053e-74	6.362430443868263e-06	
0.11	42669.20000000001	3509443.87	80000.0	0.024156363362206838	446.0223810056551	42669.20000000001	3509443.87	80000.0	0.024156363362206838	446.0223810056551	0.034	5.333655925025576	1.8056339360073232e+28	5.333655925025576	5238887428954104.0	1071765759.0505432	77799784858.67589	6.362430443799623e-06	6.863991190250293e-17	5.291758651105523e-74	1.4565620655891053e-74	6.362430443868263e-06	
10.625242193061549	4529443.906088074	3509443.869999973	79999.99999999872	2557.536135132893	401971359.70586634	4529443.906088074	3509443.869999973	79999.99999999872	2557.536135132893	401971359.70586634	0.034	5.333655925025661	1.8056339360071838e+28	5.333655925025661	5238887428953976.0	1071765759.0505261	77799784858.6752	6.362430443799323e-06	6.863991190249128e-17	5.291758651103556e-74	1.4565620655887469e-74	6.362430443867963e-06	
498.17606864188184	212563712.23931718	3509443.8699405086	79999.99999718732	263602926.32566303	41431168260233.484	212563712.23931718	3509443.8699405086	79999.99999718732	263602926.32566303	41431168260233.484	0.034	5.333655925210763	1.8056339357001023e+28	5.333655925210763	5238887428671518.0	1071765759.0128609	77799784857.15733	6.362430443144509e-06	6.863991187693457e-17	5.291758646786415e-74	1.4565620647971532e-74	6.362430443213149e-06	
5348.006261202245	2281949749.3428025	3509443.8631439446	79999.99968518579	326119952603.26013	5.125713369036655e+16	2281949749.3428025	3509443.8631439446	79999.99968518579	326119952603.26013	5.125713369036655e+16	0.034	5.3336559468027955	1.805633900707173e+28	5.3336559468027955	5238887397113541.0	1071765754.8328705	77799784686.06448	6.36243036904371e-06	6.863990896390137e-17	5.291758154586034e-74	1.4565619744910119e-74	6.36243036911235e-06	
24401.353397239014	10411869190.837357	3509443.72726899	79999.99381127664	30977291262397.973	4.868781932373218e+18	10411869190.837357	3509443.72726899	79999.99381127664	30977291262397.973	4.868781932373218e+18	0.034	5.333656395430551	1.805633205241283e+28	5.333656395430552	5238886794498565.0	1071765676.1378238	77799781358.8887	6.362428916554075e-06	6.863985103931456e-17	5.29174836276039e-74	1.4565601757366628e-74	6.3624289166227155e-06	
68644.91399035724	29290258712.978783	3509442.740445547	79999.95345569227	689646825398872.9	1.083935774395408e+20	29290258712.978783	3509442.740445547	79999.95345569227	689646825398872.9	1.083935774395408e+20	0.034	5.333659761270749	1.8056281802786147e+28	5.333659761270749	5238882597200173.0	1071765135.4763678	77799757785.84875	6.362418550839218e-06	6.863943232764695e-17	5.291677552820956e-74	1.4565471538971389e-74	6.3624185509078575e-06	
144634.48404803243	61714413298.96532	3509438.8554277304	79999.80067494145	6450839132413961.0	1.013896245804033e+21	61714413298.96532	3509438.8554277304	79999.80067494145	6450839132413961.0	1.013896245804033e+21	0.034	5.333673296692574	1.8056084664427748e+28	5.333673296692574	5238866547079064.0	1071763088.6001137	77799666544.91263	6.362378226985642e-06	6.863778915764704e-17	5.291399596962886e-74	1.4564960003731641e-74	6.36237822705428e-06	
244634.48404803243	104383620516.0131	3509429.5241933847	79999.44522954468	3.121404622150512e+16	4.906025748341891e+21	104383620516.0131	3509429.5241933847	79999.44522954468	3.121404622150512e+16	4.906025748341891e+21	0.034	5.333706344170156	1.8055612474310519e+28	5.333706344170156	5238828892733819.0	1071758326.51847	77799450350.8222	6.3622822913917725e-06	6.863385253661233e-17	5.290733569280083e-74	1.4563733538830818e-74	6.362282291460407e-06	
344634.48404803243	147052881013.18875	3509415.398769741	79998.92214382924	8.727028892246651e+16	1.3716750864404676e+22	147052881013.18875	3509415.398769741	79998.92214382924	8.727028892246651e+16	1.3716750864404676e+22	0.034	5.3337570703670165	1.8054899394353314e+28	5.3337570703670165	5238773058046352.0	1071751318.4600872	77799126923.61133	6.362138259628227e-06	6.862790662293695e-17	5.289727487767079e-74	1.4561879859220343e-74	6.362138259696855e-06	
