radius	opticaldepth	temperature	density	luminosity	mass	opticaldepth_deriv	temperature_deriv	density_deriv	luminosity_deriv	mass_deriv	k_es	k_ff	k_h	opacity	pressure	pressure_temp_grad	pressure_density_grad	energy_pp	energy_cno	energy_He	energy_C	energygen	
0.01	0.0	3566002.81	80000.0	0.022728729773530163	0.33510321638291135	0.0	3566002.81	80000.0	0.022728729773530163	0.33510321638291135	0.034	5.04339710250158	2.0850675612278427e+28	5.04339710250158	5299505424475153.0	1071767901.3716851	78557478222.42918	6.782605675501573e-06	9.435175583840542e-17	1.069322645745225e-73	2.3530459377696908e-74	6.7826056755959245e-06	
0.11	40347.10000000001	3566002.81	80000.0	0.02575165083340458	446.0223810056551	40347.10000000001	3566002.81	80000.0	0.02575165083340458	446.0223810056551	0.034	5.04339710250158	2.0850675612278427e+28	5.04339710250158	5299505424475153.0	1071767901.3716851	78557478222.42918	6.782605675501573e-06	9.435175583840542e-17	1.069322645745225e-73	2.3530459377696908e-74	6.7826056755959245e-06	
9.91998674816609	3998399.799302336	3566002.8099999763	79999.9999999989	2218.7730883382633	327123596.4467723	3998399.799302336	3566002.8099999763	79999.9999999989	2218.7730883382633	327123596.4467723	0.034	5.043397102501649	2.0850675612277033e+28	5.043397102501649	5299505424475041.0	1071767901.3716704	78557478222.42859	6.782605675501295e-06	9.435175583839148e-17	1.0693226457448843e-73	2.353045937769186e-74	6.782605675595647e-06	
480.41913351724213	193831522.4778713	3566002.8099444252	79999.99999740913	252020606.3637579	37156900807641.73	193831522.4778713	3566002.8099444252	79999.99999740913	252020606.3637579	37156900807641.73	0.034	5.043397102662344	2.085067560901625e+28	5.043397102662344	5299505424212058.0	1071767901.3369745	78557478221.01999	6.782605674859096e-06	9.435175580608814e-17	1.0693226449427107e-73	2.3530459365933435e-74	6.7826056749534475e-06	
5239.276683361794	2113896187.2105136	3566002.8033903223	79999.99970062806	326880619474.0053	4.8193958275969176e+16	2113896187.2105136	3566002.8033903223	79999.99970062806	326880619474.0053	4.8193958275969176e+16	0.034	5.04339712200861	2.0850675225439894e+28	5.04339712200861	5299505393873208.0	1071767897.3608866	78557478057.08002	6.782605599833115e-06	9.435175200514748e-17	1.069322550533357e-73	2.3530457981213075e-74	6.782605599927467e-06	
24116.508295799038	9730325853.61181	3566002.669955366	79999.99401121831	31880013887437.242	4.700259827337183e+18	9730325853.61181	3566002.669955366	79999.99401121831	31880013887437.242	4.700259827337183e+18	0.034	5.043397531446165	2.0850667462181757e+28	5.043397531446165	5299504803916238.0	1071767821.1374204	78557474809.92416	6.782604102287095e-06	9.435167503788152e-17	1.0693206378857121e-73	2.3530429893470723e-74	6.782604102381447e-06	
68188.08677071927	27511959102.207344	3566001.690421475	79999.95452242206	720610667102813.0	1.0624389237524395e+20	27511959102.207344	3566001.690421475	79999.95452242206	720610667102813.0	1.0624389237524395e+20	0.034	5.043400637559066	2.0850610769571996e+28	5.043400637559066	5299500651943937.0	1071767292.0870001	78557451556.9093	6.782593301965217e-06	9.435111271505257e-17	1.0693066582763658e-73	2.3530224374523154e-74	6.782593302059568e-06	
144128.0217638449	58151557359.72226	3565997.8081097757	79999.80407787404	6804864563296407.0	1.0032825328773219e+21	58151557359.72226	3565997.8081097757	79999.80407787404	6804864563296407.0	1.0032825328773219e+21	0.034	5.043413216148037	2.0850386864416657e+28	5.043413216148037	5299484672479674.0	1071765276.5031488	78557360951.56808	6.782551010129085e-06	9.43488911750926e-17	1.0692514150278867e-73	2.352941161637192e-74	6.782551010223435e-06	
244128.0217638449	98498696229.66473	3565988.4593357746	79999.45330554796	3.3069188625674096e+16	4.87561851810709e+21	98498696229.66473	3565988.4593357746	79999.45330554796	3.3069188625674096e+16	4.87561851810709e+21	0.034	5.043444013800609	2.084984919914568e+28	5.043444013800609	5299447097099806.0	1071760577.0124464	78557145721.36513	6.78245014579221e-06	9.434355538263821e-17	1.0691187058516369e-73	2.3527457954570165e-74	6.7824501458865536e-06	
344128.0217638449	138845884445.05008	3565974.294829207	79998.93678347336	9.262410502456901e+16	1.3656368282695276e+22	138845884445.05008	3565974.294829207	79998.93678347336	9.262410502456901e+16	1.3656368282695276e+22	0.034	5.043491335684309	2.0849036542550467e+28	5.043491335684309	5299391339772430.0	1071753656.8654435	78556823454.46144	6.782298593151354e-06	9.433548918534093e-17	1.0689180655656367e-73	2.3524502616316784e-74	6.78229859324569e-06	
