radius	opticaldepth	temperature	density	luminosity	mass	opticaldepth_deriv	temperature_deriv	density_deriv	luminosity_deriv	mass_deriv	k_es	k_ff	k_h	opacity	pressure	pressure_temp_grad	pressure_density_grad	energy_pp	energy_cno	energy_He	energy_C	energygen	
0.01	0.0	4786300.9232265	46459.158536172916	0.02487775273910922	0.19460766819893918	0.0	4786300.9232265	46459.158536172916	0.02487775273910922	0.19460766819893918	0.034	1.2306824152249196	2.2463409721032347e+29	1.2306824152249196	3576425275083196.0	622501981.9437608	85548685473.7963	1.2783541844176538e-05	1.915648774323606e-14	1.5173211195817166e-68	9.336010395716031e-71	1.2783541863333025e-05	
0.11	5717.6	4786300.9232265	46459.158536172916	0.02818649385266041	259.0228063727882	5717.6	4786300.9232265	46459.158536172916	0.02818649385266041	259.0228063727882	0.034	1.2306824152249196	2.2463409721032347e+29	1.2306824152249196	3576425275083196.0	622501981.9437608	85548685473.7963	1.2783541844176538e-05	1.915648774323606e-14	1.5173211195817166e-68	9.336010395716031e-71	1.2783541863333025e-05	
9.542255374304515	545020.6611272643	4786300.923226485	46459.1585361726	2161.5697316809346	169088104.02662015	545020.6611272643	4786300.923226485	46459.1585361726	2161.5697316809346	169088104.02662015	0.034	1.2306824152249274	2.2463409721031643e+29	1.2306824152249274	3576425275083159.5	622501981.9437566	85548685473.79599	1.278354184417629e-05	1.915648774323473e-14	1.5173211195814928e-68	9.336010395715105e-71	1.2783541863332778e-05	
531.5549939576601	30391866.053782906	4786300.923180864	46459.15853519194	373642057.6732321	29228367349970.844	30391866.053782906	4786300.923180864	46459.15853519194	373642057.6732321	29228367349970.844	0.034	1.2306824152477993	2.2463409718867565e+29	1.2306824152477993	3576425274970866.0	622501981.9306159	85548685472.88327	1.2783541843419062e-05	1.9156487739196777e-14	1.517321118881087e-68	9.336010392848456e-71	1.2783541862575549e-05	
6323.067215607866	361530086.8879348	4786300.916769058	46459.15840150845	628918755685.2388	4.919753505702957e+16	361530086.8879348	4786300.916769058	46459.15840150845	628918755685.2388	4.919753505702957e+16	0.034	1.2306824185391951	2.2463409415717893e+29	1.2306824185391951	3576425259543058.0	622501980.139277	85548685345.88046	1.2783541738135023e-05	1.9156487173394608e-14	1.5173210207134621e-68	9.336009990784538e-71	1.278354175729151e-05	
30569.236781038413	1747840406.8734636	4786300.772297039	46459.155589809976	71066508611706.19	5.559218230727541e+18	1747840406.8734636	4786300.772297039	46459.155589809976	71066508611706.19	5.559218230727541e+18	0.034	1.2306824964190444	2.2463402633560758e+29	1.2306824964190444	3576424929071838.5	622501942.4622662	85548682545.87645	1.278353942101953e-05	1.915647450730154e-14	1.5173188218788828e-68	9.336000971696302e-71	1.2783539440176005e-05	
88916.3479073923	5083921465.195633	4786299.646293827	46459.13510596768	1748863932961639.0	1.3680585253525163e+20	5083921465.195633	4786299.646293827	46459.13510596768	1748863932961639.0	1.3680585253525163e+20	0.034	1.2306831299302512	2.246335011982266e+29	1.2306831299302512	3576422475767303.0	622501667.9718542	85548661162.68271	1.27835217551785e-05	1.9156376378826885e-14	1.5173017778715446e-68	9.335930965361503e-71	1.2783521774334877e-05	
188916.3479073923	10801564620.78071	4786295.158965627	46459.05749119726	1.6773316820057044e+16	1.3121032819385167e+21	10801564620.78071	4786295.158965627	46459.05749119726	1.6773316820057044e+16	1.3121032819385167e+21	0.034	1.2306857290797015	2.2463141815220198e+29	1.2306857290797015	3576413042563910.5	622500627.8923812	85548577181.9744	1.2783452459089083e-05	1.9155986980022092e-14	1.5172341186273372e-68	9.335652789595714e-71	1.278345247824507e-05	
288916.3479073923	16519208891.623184	4786287.441409672	46458.93133317007	5.99962179662847e+16	4.6932643340377176e+21	16519208891.623184	4786287.441409672	46458.93133317007	5.99962179662847e+16	4.6932643340377176e+21	0.034	1.2306903351425085	2.246278533701328e+29	1.2306903351425085	3576397445756249.0	622498937.2779081	85548435000.6325	1.278333529688921e-05	1.915532030941019e-14	1.517118240008125e-68	9.335175858708435e-71	1.278333531604453e-05	
388916.3479073923	22236857588.919514	4786276.49364145	46458.75739916841	1.4634305202938816e+17	1.1447911515671721e+22	22236857588.919514	4786276.49364145	46458.75739916841	1.4634305202938816e+17	1.1447911515671721e+22	0.034	1.2306969623617636	2.246228087764101e+29	1.2306969623617636	3576375751030695.0	622496606.4073563	85548234854.75949	1.2783170480903131e-05	1.915437671210777e-14	1.5169542031409765e-68	9.334500357236871e-71	1.2783170500057508e-05	
488916.3479073923	27954514222.832317	4786262.315682275	46458.53602411763	2.907381085775007e+17	2.274364566508559e+22	27954514222.832317	4786262.315682275	46458.53602411763	2.907381085775007e+17	2.274364566508559e+22	0.034	1.2307056169715522	2.2461628527872165e+29	1.2307056169715522	3576347987103976.0	622493639.7675668	85547976847.5739	1.278295810497127e-05	1.9153156366830288e-14	1.5167420454710373e-68	9.333626395420927e-71	1.2782958124124426e-05	
588916.3479073923	33672182374.411892	4786244.907559353	46458.267362459424	5.0810405893020685e+17	3.974803884724631e+22	33672182374.411892	4786244.907559353	46458.267362459424	5.0810405893020685e+17	3.974803884724631e+22	0.034	1.2307163018673164	2.2460828337698682e+29	1.2307163018673164	3576314167270623.0	622490039.4275277	85547661026.86086	1.2782698213755198e-05	1.91516593897472e-14	1.516481797211323e-68	9.332554059814762e-71	1.2782698232906857e-05	
688916.3479073923	39389865656.57278	4786224.26930579	46457.951496725735	8.133615330277463e+17	6.362862725430682e+22	39389865656.57278	4786224.26930579	46457.951496725735	8.133615330277463e+17	6.362862725430682e+22	0.034	1.2307290186191109	2.2459880342583576e+29	1.2307290186191109	3576274298691318.5	622485806.4928876	85547287418.35815	1.2782390832612351e-05	1.9149885879245828e-14	1.5161734884311559e-68	9.331283435099073e-71	1.2782390851762236e-05	
788916.3479073923	45107567699.131615	4786200.400960582	46457.588476189434	1.2214286964203748e+18	9.55529041091406e+22	45107567699.131615	4786200.400960582	46457.588476189434	1.2214286964203748e+18	9.55529041091406e+22	0.034	1.2307437681883	2.245878457280382e+29	1.2307437681883	3576228385699402.5	622480941.6237404	85546856037.64075	1.278203597823084e-05	1.914783593186264e-14	1.51581715157659e-68	9.32981461183965e-71	1.2782035997378676e-05	
