radius	opticaldepth	temperature	density	luminosity	mass	opticaldepth_deriv	temperature_deriv	density_deriv	luminosity_deriv	mass_deriv	k_es	k_ff	k_h	opacity	pressure	pressure_temp_grad	pressure_density_grad	energy_pp	energy_cno	energy_He	energy_C	energygen	
0.01	0.0	4786300.9232265	44911.40027608948	0.023247789239399966	0.18812443355972444	0.0	4786300.9232265	44911.40027608948	0.023247789239399966	0.18812443355972444	0.034	1.2018372890372513	2.2086063000809676e+29	1.2018372890372513	3444386278835053.0	601767396.7064921	85070076492.76154	1.2357666018917211e-05	1.8518301149398043e-14	1.4179078780324429e-68	9.024986957894967e-71	1.2357666037435513e-05	
0.11	5397.6	4786300.9232265	44911.40027608948	0.026339745207538994	250.39362106799345	5397.6	4786300.9232265	44911.40027608948	0.026339745207538994	250.39362106799345	0.034	1.2018372890372513	2.2086063000809676e+29	1.2018372890372513	3444386278835053.0	601767396.7064921	85070076492.76154	1.2357666018917211e-05	1.8518301149398043e-14	1.4179078780324429e-68	9.024986957894967e-71	1.2357666037435513e-05	
11.532734741464798	621953.3641745623	4786300.92322648	44911.40027608905	3566.0005031932214	288563976.9618372	621953.3641745623	4786300.92322648	44911.40027608905	3566.0005031932214	288563976.9618372	0.034	1.2018372890372606	2.2086063000808754e+29	1.2018372890372606	3444386278835005.0	601767396.7064863	85070076492.76112	1.2357666018916882e-05	1.8518301149396295e-14	1.4179078780321627e-68	9.024986957893803e-71	1.2357666037435184e-05	
608.3392231473621	32835297.090043597	4786300.923170774	44911.40027488176	523382402.25880694	42352852115648.766	32835297.090043597	4786300.923170774	44911.40027488176	523382402.25880694	42352852115648.766	0.034	1.2018372890636024	2.208606299819843e+29	1.2018372890636024	3444386278698779.0	601767396.690309	85070076491.6394	1.2357666018009386e-05	1.851830114460952e-14	1.4179078772298188e-68	9.024986954500021e-71	1.2357666036527688e-05	
6947.344065841399	374990661.2902137	4786300.915958752	44911.40012333772	779539430555.2919	6.308144424762795e+16	374990661.2902137	4786300.915958752	44911.40012333772	779539430555.2919	6.308144424762795e+16	0.034	1.2018372925631309	2.2086062661421536e+29	1.2018372925631309	3444386261466955.5	601767394.6596451	85070076347.89519	1.2357665901828679e-05	1.8518300526844406e-14	1.4179077736544942e-68	9.024986516080228e-71	1.2357665920346979e-05	
32816.354035074626	1771301344.1539283	4786300.7610668065	44911.39707933018	82158535938386.75	6.64838521386019e+18	1771301344.1539283	4786300.7610668065	44911.39707933018	82158535938386.75	6.64838521386019e+18	0.034	1.2018373716688555	2.2086055480301452e+29	1.2018373716688555	3444385909304087.0	601767353.8697773	85070073326.23541	1.2357663464599131e-05	1.8518287346037473e-14	1.4179055624818226e-68	9.02497714252195e-71	1.2357663483117417e-05	
94197.0917794331	5084399227.368532	4786299.58713213	44911.375441596036	1943095543516816.0	1.5723801609345968e+20	5084399227.368532	4786299.58713213	44911.375441596036	1943095543516816.0	1.5723801609345968e+20	0.034	1.201837998058314	2.2086001406604486e+29	1.201837998058314	3444383362145306.5	601767063.9178989	85070050870.54128	1.2357645387002999e-05	1.8518188039109806e-14	1.4178888944706269e-68	9.024906388061952e-71	1.2357645405521187e-05	
194197.0917794331	10482015008.458942	4786295.244547534	44911.29938767223	1.7025853956335206e+16	1.3777575471526642e+21	10482015008.458942	4786295.244547534	44911.29938767223	1.7025853956335206e+16	1.3777575471526642e+21	0.034	1.2018403898824155	2.2085802360317712e+29	1.2018403898824155	3444374279015082.0	601766044.7583848	85069969043.22559	1.2357579612319702e-05	1.8517822334471824e-14	1.4178274901012292e-68	9.0246454612203e-71	1.2357579630837524e-05	
294197.0917794331	15879630939.945013	4786287.890404996	44911.17699265796	5.919610515444158e+16	4.790259342245395e+21	15879630939.945013	4786287.890404996	44911.17699265796	5.919610515444158e+16	4.790259342245395e+21	0.034	1.2018445603584065	2.2085466854288592e+29	1.2018445603584065	3444359441416129.0	601764404.5804113	85069832459.99872	1.2357469985388312e-05	1.8517205670927596e-14	1.4177239122566845e-68	9.024204886080625e-71	1.2357470003905518e-05	
394197.0917794331	21277249423.682156	4786277.524717588	44911.008963718865	1.4240143214394026e+17	1.1523466723807067e+22	21277249423.682156	4786277.524717588	44911.008963718865	1.4240143214394026e+17	1.1523466723807067e+22	0.034	1.201850522745398	2.2084995068483616e+29	1.201850522745398	3444338909548447.0	601762152.8575449	85069641340.91615	1.2357316701840732e-05	1.8516338364887605e-14	1.4175782147879167e-68	9.02358483091723e-71	1.2357316720357071e-05	
494197.0917794331	26674873025.178364	4786264.147499378	44910.7955911905	2.8058832953215648e+17	2.270608198990855e+22	26674873025.178364	4786264.147499378	44910.7955911905	2.8058832953215648e+17	2.270608198990855e+22	0.034	1.201858282504066	2.2084387082667027e+29	1.201858282504066	3444312708165681.5	601759293.4792774	85069395776.40417	1.2357119842989149e-05	1.851522057063406e-14	1.4173904289044864e-68	9.022785390645684e-71	1.2357119861504369e-05	
594197.0917794331	32072504368.533806	4786247.758767175	44910.53701014508	4.87701825154822e+17	3.9466779619846796e+22	32072504368.533806	4786247.758767175	44910.53701014508	4.87701825154822e+17	3.9466779619846796e+22	0.034	1.2018678421948403	2.2083642940787666e+29	1.2018678421948403	3444280848827655.5	601755828.2551118	85069095808.62689	1.2356879447815485e-05	1.851385238830234e-14	1.4171605797107486e-68	9.021806639478638e-71	1.2356879466329337e-05	
694197.0917794331	37470146104.591125	4786228.358540708	44910.233293332	7.77685101763151e+17	6.293419948453926e+22	37470146104.591125	4786228.358540708	44910.233293332	7.77685101763151e+17	6.293419948453926e+22	0.034	1.2018792032187242	2.208276267383871e+29	1.2018792032187242	3444243337806930.0	601751758.1596432	85068741460.39194	1.2356595538546432e-05	1.8512233902213935e-14	1.416888692074052e-68	9.020648649607235e-71	1.2356595557058666e-05	
794197.0917794331	42867800898.5428	4786205.946842656	44909.88448448208	1.164479118814284e+18	9.423694005966248e+22	42867800898.5428	4786205.946842656	44909.88448448208	1.164479118814284e+18	9.423694005966248e+22	0.034	1.2018923664411356	2.2081746308047303e+29	1.2018923664411356	3444200178922012.0	601747083.778719	85068332745.50806	1.2356268129817457e-05	1.8510365194606516e-14	1.4165747927248843e-68	9.019311497889392e-71	1.2356268148327822e-05	
894197.0917794331	48265471424.179115	4786180.523698648	44909.49061214775	1.6620222343648655e+18	1.3450355164051023e+23	48265471424.179115	4786180.523698648	44909.49061214775	1.6620222343648655e+18	1.3450355164051023e+23	0.034	1.2019073324511582	2.2080593868277457e+29	1.2019073324511582	3444151374714740.0	601741805.4948508	85067869673.0892	1.2355897232481059e-05	1.8508246351337075e-14	1.4162189111273294e-68	9.017795268624772e-71	1.2355897250989305e-05	
994197.0917794331	53663160360.87041	4786152.089137266	44909.05169623234	2.2842498270699894e+18	1.8486252955809413e+23	53663160360.87041	4786152.089137266	44909.05169623234	2.2842498270699894e+18	1.8486252955809413e+23	0.034	1.2019241016838578	2.2079305379634662e+29	1.2019241016838578	3444096927005724.0	601735923.5746825	85067352249.58516	1.235548285540317e-05	1.8505877464568318e-14	1.4158210798870988e-68	9.016100054858434e-71	1.2355482873909048e-05	
1094197.0917794332	59060870391.83823	4786120.643190033	44908.56775138546	3.0450939182936955e+18	2.4644230739625388e+23	59060870391.83823	4786120.643190033	44908.56775138546	3.0450939182936955e+18	2.4644230739625388e+23	0.034	1.2019426744838904	2.2077880868299996e+29	1.2019426744838904	3444036837183186.5	601729438.2144774	85066780479.83722	1.235502500639737e-05	1.8503258634163247e-14	1.415381334961343e-68	9.014225959054588e-71	1.2355025024900629e-05	
1194197.0917794332	64458604203.09792	4786086.185891412	44908.03878890731	3.9584827943395983e+18	3.2037125020966366e+23	64458604203.09792	4786086.185891412	44908.03878890731	3.9584827943395983e+18	3.2037125020966366e+23	0.034	1.2019630511411785	2.2076320361997604e+29	1.2019630511411785	3443971106364955.5	601722349.5656298	85066154367.67047	1.2354523692748659e-05	1.850038996846332e-14	1.4148997157736187e-68	9.012173093469016e-71	1.2354523711249049e-05	
1294197.0917794332	69856364482.77863	4786048.717278811	44907.464817882996	5.03834062881158e+18	4.0777764774268365e+23	69856364482.77863	4786048.717278811	44907.464817882996	5.03834062881158e+18	4.0777764774268365e+23	0.034	1.2019852319121602	2.20746238902729e+29	1.2019852319121602	3443899735494971.0	601714657.7498602	85065473916.24655	1.2353978921525616e-05	1.8497271584749977e-14	1.4143762652799305e-68	9.009941580366766e-71	1.2353978940022888e-05	
1394197.0917794332	75254153920.66844	4786008.237392569	44906.84584589199	6.298587105115331e+18	5.097897076490425e+23	75254153920.66844	4786008.237392569	44906.84584589199	6.298587105115331e+18	5.097897076490425e+23	0.034	1.2020092170330887	2.2072791484665848e+29	1.2020092170330887	3443822725403613.5	601706362.8687197	85064739128.28416	1.2353390699775367e-05	1.8493903609528628e-14	1.413811030007182e-68	9.007531552152092e-71	1.235339071826927e-05	
1494197.0917794332	80651975207.90096	4785964.74627596	44906.18187947014	7.753137039111974e+18	6.275355487123586e+23	80651975207.90096	4785964.74627596	44906.18187947014	7.753137039111974e+18	6.275355487123586e+23	0.034	1.202035006728687	2.2070823178823774e+29	1.202035006728687	3443740076847021.0	601697465.0097795	85063950006.20271	1.2352759034650686e-05	1.8490286178711573e-14	1.4132040600756263e-68	9.004943151449074e-71	1.2352759053140971e-05	
1594197.0917794332	86049831036.73386	4785918.243975185	44905.47292442094	9.415900001935415e+18	7.621431940675212e+23	86049831036.73386	4785918.243975185	44905.47292442094	9.415900001935415e+18	7.621431940675212e+23	0.034	1.202062601217987	2.2068719008576722e+29	1.202062601217987	3443651790533554.0	601687964.2508008	85063106552.21915	1.2352083933495423e-05	1.8486419437736666e-14	1.4125554092111835e-68	9.002176531149785e-71	1.2352083951981842e-05	
1694197.0917794332	91447724100.38965	4785868.730539374	44904.71898603153	1.1300779942985167e+19	9.147405644229624e+23	91447724100.38965	4785868.730539374	44904.71898603153	1.1300779942985167e+19	9.147405644229624e+23	0.034	1.202092000718378	2.2066479011989532e+29	1.202092000718378	3443557867142174.5	601677860.6626288	85062208768.41501	1.2351365403903886e-05	1.8482303541647213e-14	1.411865134751284e-68	8.999231854443194e-71	1.2351365422386189e-05	
1794197.0917794332	96845657092.93982	4785816.206020585	44903.92006922619	1.342167481310666e+19	1.0864554712838572e+24	96845657092.93982	4785816.206020585	44903.92006922619	1.342167481310666e+19	1.0864554712838572e+24	0.034	1.2021232054484838	2.2064103229398607e+29	1.2021232054484838	3443458307335494.5	601667154.311248	85061256656.78427	1.235060345376296e-05	1.8477938655145453e-14	1.4111332976462415e-68	8.996109294830201e-71	1.2350603472240899e-05	
1894197.0917794332	102243632709.21948	4785760.670473795	44903.076178678006	1.5792476187971025e+19	1.2784156101762926e+24	102243632709.21948	4785760.670473795	44903.076178678006	1.5792476187971025e+19	1.2784156101762926e+24	0.034	1.2021562156302636	2.2061591703437817e+29	1.2021562156302636	3443353111769274.5	601655845.2592794	85060250219.26785	1.2349798091282616e-05	1.8473324952626978e-14	1.4103599624573783e-68	8.992809036128988e-71	1.234979810975594e-05	
1994197.0917794332	107641653644.76465	4785702.123956902	44902.18731889156	1.8427068891666553e+19	1.4917485538724514e+24	107641653644.76465	4785702.123956902	44902.18731889156	1.8427068891666553e+19	1.4917485538724514e+24	0.034	1.2021910314905644	2.205894447905774e+29	1.2021910314905644	3443242281099449.0	601643933.5670869	85059189457.77945	1.2348949325018575e-05	1.8468462618203898e-14	1.4095451973528437e-68	8.989331272473886e-71	1.2348949343487038e-05	
2094197.0917794332	113039722595.7661	4785640.566530719	44901.25349426527	2.13393306205139e+19	1.7275817456168568e+24	113039722595.7661	4785640.566530719	44901.25349426527	2.13393306205139e+19	1.7275817456168568e+24	0.034	1.2022276532622933	2.2056161603539564e+29	1.2022276532622933	3443125815987431.0	601631419.2936137	85058074374.22482	1.2348057163889283e-05	1.8463351845718166e-14	1.4086890741016589e-68	8.98567620830906e-71	1.2348057182352635e-05	
2194197.091779433	118437842259.03561	4785575.99825898	44900.27470913906	2.4543131567117308e+19	1.9870424923537267e+24	118437842259.03561	4785575.99825898	44900.27470913906	2.4543131567117308e+19	1.9870424923537267e+24	0.034	1.2022660811853128	2.2053243126505527e+29	1.2022660811853128	3443003717104163.5	601618302.4970205	85056904970.51663	1.234712161718894e-05	1.8457992838749125e-14	1.4077916680662813e-68	8.981844058378464e-71	1.2347121635646934e-05	
2294197.091779433	123836015331.98207	4785508.419208324	44899.25096783142	2.805233404466408e+19	2.2712579579554866e+24	123836015331.98207	4785508.419208324	44899.25096783142	2.805233404466408e+19	2.2712579579554866e+24	0.034	1.2023063155071463	2.2050189099926245e+29	1.2023063155071463	3442875985133260.0	601604583.2351813	85055681248.58583	1.2346142694597395e-05	1.8452385810614296e-14	1.4068530581939389e-68	8.977835047712063e-71	1.234614271304978e-05	
2394197.091779433	129234244512.59482	4785437.829448302	44898.18227466838	3.1880792111484453e+19	2.581355156452497e+24	129234244512.59482	4785437.829448302	44898.18227466838	3.1880792111484453e+19	2.581355156452497e+24	0.034	1.202348356483521	2.2046999578126535e+29	1.202348356483521	3442742620773470.5	601590261.5660723	85054403210.39081	1.2345120406188092e-05	1.8446530984368437e-14	1.4058733270070179e-68	8.973649411610247e-71	1.2345120424634623e-05	
2494197.091779433	134632532499.43303	4785364.229051375	44897.068634006646	3.604235119588422e+19	2.918460945264041e+24	134632532499.43303	4785364.229051375	44897.068634006646	3.604235119588422e+19	2.918460945264041e+24	0.034	1.2023922043788082	2.2043674617789388e+29	1.2023922043788082	3442603624740644.0	601575337.548082	85053070857.9244	1.2344054762434173e-05	1.844042859279783e-14	1.404852560592522e-68	8.969287395625344e-71	1.2344054780874602e-05	
2594197.091779433	140030881991.61963	4785287.618092899	44895.91005025205	4.055084772126232e+19	3.2837020184306254e+24	140030881991.61963	4785287.618092899	44895.91005025205	4.055084772126232e+19	3.2837020184306254e+24	0.034	1.2024378594663812	2.2040214277958593e+29	1.2024378594663812	3442458997769290.5	601559811.2402574	85051684193.21964	1.2342945774213345e-05	1.843407887841242e-14	1.4037908485906705e-68	8.964749255541657e-71	1.2342945792647425e-05	
2694197.091779433	145429295688.8391	4785207.996651137	44894.70652787458	4.5420108731525554e+19	3.6782048998476525e+24	145429295688.8391	4785207.996651137	44894.70652787458	4.5420108731525554e+19	3.6782048998476525e+24	0.034	1.2024853220288918	2.2036618620040978e+29	1.2024853220288918	3442308740613856.5	601543682.7025065	85050243218.35437	1.2341793452811904e-05	1.8427482093436774e-14	1.4026882841829059e-68	8.960035257353774e-71	1.2341793471239386e-05	
2794197.091779433	150827776291.33826	4785125.364807244	44893.45807142061	5.066395151681288e+19	4.1030959365005187e+24	150827776291.33826	4785125.364807244	44893.45807142061	5.066395151681288e+19	4.1030959365005187e+24	0.034	1.2025345923585165	2.2032887707807273e+29	1.2025345923585165	3442152854049757.0	601526951.9957614	85048747935.45508	1.234059780992781e-05	1.842063849979778e-14	1.401544964079065e-68	8.955145677243066e-71	1.234059782834845e-05	
2894197.091779433	156226326499.92938	4785039.722645273	44892.16468552293	5.629618323954129e+19	4.5595012917011764e+24	156226326499.92938	4785039.722645273	44892.16468552293	5.629618323954129e+19	4.5595012917011764e+24	0.034	1.2025856707571432	2.2029021607392945e+29	1.2025856707571432	3441991338874227.0	601509619.1821129	85047198346.69995	1.2339358857673313e-05	1.8413548369112355e-14	1.4003609885040318e-68	8.950080801553246e-71	1.2339358876086861e-05	
2994197.091779433	161624949015.9958	4784951.070252165	44890.82637490914	6.233060056078572e+19	5.048546938326236e+24	161624949015.9958	4784951.070252165	44890.82637490914	6.233060056078572e+19	5.048546938326236e+24	0.034	1.2026385575365395	2.2025020387298036e+29	1.2026385575365395	3441824195907025.0	601491684.3249226	85045594454.32132	1.2338076608577003e-05	1.840621198267259e-14	1.3991364611837074e-68	8.944840926764253e-71	1.2338076626983216e-05	
3094197.091779433	167023646541.49857	4784859.407717748	44889.44314440862	6.878098926700506e+19	5.571358652056648e+24	167023646541.49857	4784859.407717748	44889.44314440862	6.878098926700506e+19	5.571358652056648e+24	0.034	1.2026932530184904	2.2020884118386893e+29	1.2026932530184904	3441651425991023.0	601473147.4889168	85043936260.608	1.2336751075585494e-05	1.839862963143029e-14	1.3978714893304075e-68	8.939426359464768e-71	1.2336751093984124e-05	
3194197.091779433	172422421778.98535	4784764.73513473	44888.014998958366	7.56611238971266e+19	6.129062004619022e+24	172422421778.98535	4784764.73513473	44888.014998958366	7.56611238971266e+19	6.129062004619022e+24	0.034	1.2027497575349142	2.2016612873887425e+29	1.2027497575349142	3441473029992693.5	601454008.7402647	85042223767.90688	1.2335382272064816e-05	1.839080161598028e-14	1.396566183627677e-68	8.933837416323962e-71	1.2335382290455617e-05	
3294197.091779433	177821277431.5998	4784667.052598704	44886.54194360792	8.2984767370001e+19	6.722782357028638e+24	177821277431.5998	4784667.052598704	44886.54194360792	8.2984767370001e+19	6.722782357028638e+24	0.034	1.2028080714279614	2.2012206729390246e+29	1.2028080714279614	3441289008802525.0	601434268.1466439	85040456978.6245	1.2333970211801541e-05	1.8382728246542917e-14	1.3952206582146354e-68	8.928074424061791e-71	1.2333970230184268e-05	
3394197.091779433	183220216203.09238	4784566.360208134	44885.023983523606	9.076567061224012e+19	7.353644852834211e+24	183220216203.09238	4784566.360208134	44885.023983523606	9.076567061224012e+19	7.353644852834211e+24	0.034	1.2028681950501037	2.2007665762847324e+29	1.2028681950501037	3441099363335375.5	601413925.7772976	85038635895.22827	1.2332514909003673e-05	1.8374409842945287e-14	1.3938350306696524e-68	8.922137719418454e-71	1.2332514927378082e-05	
3494197.091779433	188619240797.8319	4784462.658064361	44883.461123992114	9.901757218644972e+19	8.022774411364448e+24	188619240797.8319	4784462.658064361	44883.461123992114	9.901757218644972e+19	8.022774411364448e+24	0.034	1.2029301287642058	2.2002990054570624e+29	1.2029301287642058	3440904094530769.5	601392981.7030823	85036760520.24768	1.2331016378301413e-05	1.8365846734602012e-14	1.3924094219936617e-68	8.916027649122461e-71	1.2331016396667259e-05	
3594197.091779433	194018353920.81793	4784355.946271585	44881.85337042354	1.0775419791986945e+20	8.731295720976468e+24	194018353920.81793	4784355.946271585	44881.85337042354	1.0775419791986945e+20	8.731295720976468e+24	0.034	1.202993872943599	2.199817968723017e+29	1.202993872943599	3440703203353144.5	601371435.9965091	85034830856.27492	1.232947463474767e-05	1.835703926049439e-14	1.390943956592733e-68	8.909744569857494e-71	1.2329474653104708e-05	
3694197.091779433	199417558277.6937	4784246.224936876	44880.20072835408	1.1698926053343194e+20	9.480333232306137e+24	199417558277.6937	4784246.224936876	44880.20072835408	1.1698926053343194e+20	9.480333232306137e+24	0.034	1.2030594279721316	2.1993234745852567e+29	1.2030594279721316	3440496690792081.5	601349288.7317789	85032846905.9659	1.2327889693818605e-05	1.834798776914994e-14	1.3894387622603785e-68	8.903288848229043e-71	1.2327889712166592e-05	
3794197.091779433	204816856574.7596	4784133.494170159	44878.5032034483	1.2673645927125348e+20	1.0271011151520364e+25	204816856574.7596	4784133.494170159	44878.5032034483	1.2673645927125348e+20	1.0271011151520364e+25	0.034	1.2031267942442248	2.1988155317818726e+29	1.2031267942442248	3440284557862483.0	601326539.9848136	85030808672.04082	1.2326261571413899e-05	1.8338692618619953e-14	1.3878939701591977e-68	8.89666086072913e-71	1.232626158975259e-05	
3894197.091779433	210216251518.98737	4784017.754084216	44876.76080150115	1.3700947953056806e+20	1.1104453433571412e+25	210216251518.98737	4784017.754084216	44876.76080150115	1.3700947953056806e+20	1.1104453433571412e+25	0.034	1.2031959721649164	2.1982941492862033e+29	1.2031959721649164	3440066805604741.5	601303189.8332824	85028716157.28479	1.2324590283857136e-05	1.832915417645772e-14	1.3863097148021541e-68	8.889860993700757e-71	1.232459030218629e-05	
3994197.091779433	215615745818.0344	4783899.00479468	44874.97352843967	1.4782199249211726e+20	1.1981783775453307e+25	215615745818.0344	4783899.00479468	44874.97352843967	1.4782199249211726e+20	1.1981783775453307e+25	0.034	1.2032669621499048	2.197759336306582e+29	1.2032669621499048	3439843435084874.0	601279238.3566257	85026569364.54823	1.2322875847895842e-05	1.8319372819694203e-14	1.384686134033211e-68	8.882889643300716e-71	1.2322875866215215e-05	
4094197.091779433	221015342180.25876	4783777.246420024	44873.14139032455	1.5918765475100774e+20	1.2904125609460367e+25	221015342180.25876	4783777.246420024	44873.14139032455	1.5918765475100774e+20	1.2904125609460367e+25	0.034	1.203339764625589	2.1972111022860996e+29	1.203339764625589	3439614447394645.5	601254685.6360748	85024368296.74736	1.2321118280701713e-05	1.8309348934814776e-14	1.383023369007618e-68	8.875747215461855e-71	1.2321118299011062e-05	
4194197.091779433	226415043314.73434	4783652.479081568	44871.26439335143	1.7112010794804845e+20	1.3872602096447912e+25	226415043314.73434	4783652.479081568	44871.26439335143	1.7112010794804845e+20	1.3872602096447912e+25	0.034	1.2034143800290977	2.196649456902374e+29	1.2034143800290977	3439379843651673.5	601229531.7546699	85022112956.86449	1.2319317599870628e-05	1.8299082917734246e-14	1.381321564171697e-68	8.868434125854498e-71	1.231931761816971e-05	
4294197.091779433	231814851931.2663	4783524.7029034635	44869.34254385209	1.8363297840157993e+20	1.488833611909522e+25	231814851931.2663	4783524.7029034635	44869.34254385209	1.8363297840157993e+20	1.488833611909522e+25	0.034	1.2034908088083294	2.1960744100672596e+29	1.2034908088083294	3439139624999517.5	601203776.797276	85019803347.94836	1.2317473823422624e-05	1.8288575173771237e-14	1.3795808672420945e-68	8.860950799846255e-71	1.2317473841711198e-05	
4394197.091779433	237214770740.40677	4783393.9180126935	44867.37584829552	1.9673987673980718e+20	1.59524502751708e+25	237214770740.40677	4783393.9180126935	44867.37584829552	1.9673987673980718e+20	1.59524502751708e+25	0.034	1.203569051421975	2.1954859719266012e+29	1.203569051421975	3438893792607763.0	601177420.8505976	85017439473.11444	1.2315586969801938e-05	1.8277826117622666e-14	1.3778014291846803e-68	8.853297672461652e-71	1.2315586988079764e-05	
4494197.091779433	242614802453.47107	4783260.124539065	44865.364313288774	2.1045439753364862e+20	1.7066066870799988e+25	242614802453.47107	4783260.124539065	44865.364313288774	2.1045439753364862e+20	1.7066066870799988e+25	0.034	1.2036491083395506	2.1948841528599288e+29	1.2036491083395506	3438642347672084.5	601150464.0031891	85015021335.5451	1.2313657057876832e-05	1.826683617333649e-14	1.375983404192879e-68	8.845475188340478e-71	1.2313657076143669e-05	
4594197.091779433	248014949782.55374	4783123.32261521	44863.30794557784	2.2479011893011268e+20	1.8230307913734969e+25	248014949782.55374	4783123.32261521	44863.30794557784	2.2479011893011268e+20	1.8230307913734969e+25	0.034	1.2037309800414193	2.1942689634802e+29	1.2037309800414193	3438385291414311.0	601122906.3454674	85012548938.4898	1.2311684106939582e-05	1.8255605774284988e-14	1.3741269496656687e-68	8.83748380169534e-71	1.2311684125195189e-05	
4694197.091779433	253415215440.54517	4782983.512376567	44861.206752048354	2.3976060228621448e+20	1.9446295106627267e+25	253415215440.54517	4782983.512376567	44861.206752048354	2.3976060228621448e+20	1.9446295106627267e+25	0.034	1.2038146670188234	2.193640414633449e+29	1.2038146670188234	3438122625082473.0	601094747.9697217	85010022285.26526	1.2309668136706223e-05	1.824413536313611e-14	1.372232226184983e-68	8.829323976267754e-71	1.2309668154950359e-05	
4794197.091779433	258815602141.148	4782840.693961394	44859.06073972625	2.5537939180344413e+20	2.071514984030273e+25	258815602141.148	4782840.693961394	44859.06073972625	2.5537939180344413e+20	2.071514984030273e+25	0.034	1.2039001697738976	2.1929985173985393e+29	1.2039001697738976	3437854349950855.5	601065988.9701205	85007441379.25568	1.2307609167316478e-05	1.8232425391825675e-14	1.3702993974928889e-68	8.820996185284579e-71	1.2307609185548903e-05	
4894197.091779433	264216112598.8941	4782694.867510744	44856.86991577834	2.7166001416279867e+20	2.2037993187039124e+25	264216112598.8941	4782694.867510744	44856.86991577834	2.7166001416279867e+20	2.2037993187039124e+25	0.034	1.2039874888197006	2.1923432830867896e+29	1.2039874888197006	3437580467320031.0	601036629.442722	85004806223.91261	1.2305507219333466e-05	1.822047632152734e-14	1.3683286304680565e-68	8.812500911411987e-71	1.2305507237553943e-05	
4994197.091779433	269616749529.16144	4782546.033168472	44854.63428751281	2.886159781603895e+20	2.3415945893846345e+25	269616749529.16144	4782546.033168472	44854.63428751281	2.886159781603895e+20	2.3415945893846345e+25	0.034	1.2040766246802346	2.1916747232416772e+29	1.2040766246802346	3437300978516889.5	601006669.4854778	85002116822.75539	1.2303362313743517e-05	1.8208288622623342e-14	1.3663200951020233e-68	8.803838646709864e-71	1.2303362331951805e-05	
5094197.091779433	275017515648.1911	4782394.191081226	44852.35386237974	3.062607743436374e+20	2.4850128375749277e+25	275017515648.1911	4782394.191081226	44852.35386237974	3.062607743436374e+20	2.4850128375749277e+25	0.034	1.204167577890461	2.190992849638507e+29	1.204167577890461	3437015884894683.0	600976109.1982427	84999373179.37094	1.2301174471955939e-05	1.819586277467394e-14	1.3642739644749793e-68	8.795009892584582e-71	1.2301174490151802e-05	
5194197.091779433	280418413673.1046	4782239.341398435	44850.028647971485	3.2460787464806695e+20	2.634166070907346e+25	280418413673.1046	4782239.341398435	44850.028647971485	3.2460787464806695e+20	2.634166070907346e+25	0.034	1.2042603489963302	2.190297674284041e+29	1.2042603489963302	3436725187833031.5	600944948.6827775	84996575297.41385	1.229894371580268e-05	1.8183199266386135e-14	1.3621904147309863e-68	8.786015159740988e-71	1.2298943733985878e-05	
5294197.091779433	285819446321.92126	4782081.484272313	44847.658652023056	3.436707320347117e+20	2.7891662624733493e+25	285819446321.92126	4782081.484272313	44847.658652023056	3.436707320347117e+20	2.7891662624733493e+25	0.034	1.2043549385547916	2.1895892094161867e+29	1.2043549385547916	3436428888737962.5	600913188.0427557	84993723180.60664	1.2296670067538136e-05	1.81702985955825e-14	1.3600696250530771e-68	8.776854968134094e-71	1.2296670085708435e-05	
5394197.091779433	291220616313.5755	4781920.619857847	44845.24388241248	3.6346278012814256e+20	2.9501253501524317e+25	291220616313.5755	4781920.619857847	44845.24388241248	3.6346278012814256e+20	2.9501253501524317e+25	0.034	1.2044513471338207	2.1888674675036086e+29	1.2044513471338207	3436126989041912.5	600880827.3837671	84990816832.73955	1.2294353549838761e-05	1.8157161269168345e-14	1.3579117776376228e-68	8.767529846918999e-71	1.2294353567995922e-05	
