radius	opticaldepth	temperature	density	luminosity	mass	opticaldepth_deriv	temperature_deriv	density_deriv	luminosity_deriv	mass_deriv	k_es	k_ff	k_h	opacity	pressure	pressure_temp_grad	pressure_density_grad	energy_pp	energy_cno	energy_He	energy_C	energygen	
0.01	0.0	6606934.48007626	40000.0	0.066955857972633	0.16755160819145568	0.0	6606934.48007626	40000.0	0.066955857972633	0.16755160819145568	0.034	0.35862292741611856	3.7928878751474685e+30	0.35862292741611856	4006326056166665.0	536152018.9423467	107903578594.89279	3.9961322177132465e-05	1.0076380012628917e-11	1.6257539063164865e-62	1.2739429457729268e-66	3.9961332253512476e-05	
0.11	1434.4	6606934.48007626	40000.0	0.07586098666708331	223.01119050282756	1434.4	6606934.48007626	40000.0	0.07586098666708331	223.01119050282756	0.034	0.35862292741611856	3.7928878751474685e+30	0.35862292741611856	4006326056166665.0	536152018.9423467	107903578594.89279	3.9961322177132465e-05	1.0076380012628917e-11	1.6257539063164865e-62	1.2739429457729268e-66	3.9961332253512476e-05	
10.625242193061549	152274.6775106086	6606934.480076255	39999.99999999977	8031.722479963672	200985679.85293385	152274.6775106086	6606934.480076255	39999.99999999977	8031.722479963672	200985679.85293385	0.034	0.35862292741611795	3.792887875147433e+30	0.35862292741611795	4006326056166637.0	536152018.9423436	107903578594.89265	3.9961322177132126e-05	1.0076380012628725e-11	1.625753906316422e-62	1.2739429457728888e-66	3.996133225351214e-05	
678.4759104517424	9732537.146572633	6606934.480056089	39999.999999050335	2091182118.5144892	52330140173230.3	9732537.146572633	6606934.480056089	39999.999999050335	2091182118.5144892	52330140173230.3	0.034	0.3586229274139905	3.792887874998228e+30	0.35862292741399043	4006326056053378.0	536152018.9296218	107903578594.31563	3.9961322175695714e-05	1.0076380011777514e-11	1.6257539060209095e-62	1.2739429456260033e-66	3.9961332252075725e-05	
8746.404978141638	125466310.65415135	6606934.476724105	39999.99984352298	4479992723755.321	1.1210819150792227e+17	125466310.65415135	6606934.476724105	39999.99984352298	4479992723755.321	1.1210819150792227e+17	0.034	0.358622927070924	3.792887850409171e+30	0.358622927070924	4006326037484969.5	536152016.8456552	107903578499.408	3.996132193970618e-05	1.0076379871473247e-11	1.6257538573031065e-62	1.2739429213985726e-66	3.996133201608605e-05	
44342.24419063167	636085655.7743175	6606934.393917337	39999.99605514565	583769758814013.0	1.4608364154485025e+19	636085655.7743175	6606934.393917337	39999.99605514565	583769758814013.0	1.4608364154485025e+19	0.034	0.35862291902700605	3.792887242961074e+30	0.35862291902700605	4006325584308490.0	536151966.083617	107903576165.58014	3.996131615160146e-05	1.0076376403966416e-11	1.6257526528075745e-62	1.2739423217425906e-66	3.9961326227977865e-05	
132846.0361169327	1905664689.1264737	6606933.706751619	39999.965223571	1.5697637003704168e+16	3.928205391435914e+20	1905664689.1264737	6606933.706751619	39999.965223571	1.5697637003704168e+16	3.928205391435914e+20	0.034	0.3586228560782163	3.79288223083233e+30	0.3586228560782163	4006321889046514.0	536151552.95681685	107903556994.35594	3.996126872487117e-05	1.0076347781818044e-11	1.6257427066843081e-62	1.2739373648526656e-66	3.9961278801218954e-05	
232846.0361169327	3340153705.5582747	6606932.104321449	39999.894981049445	8.452671895388357e+16	2.1152147537632415e+21	3340153705.5582747	6606932.104321449	39999.894981049445	8.452671895388357e+16	2.1152147537632415e+21	0.034	0.35862271967087483	3.792870621322462e+30	0.35862271967087483	4006313450485465.5	536150611.7392916	107903512823.08438	3.996115978193661e-05	1.0076281453812889e-11	1.6257196476545654e-62	1.273925858452061e-66	3.9961169858218066e-05	
332846.0361169327	4774638927.181884	6606929.625520813	39999.7874200174	2.4689708833777126e+17	6.178419326817342e+21	4774638927.181884	6606929.625520813	39999.7874200174	2.4689708833777126e+17	6.178419326817342e+21	0.034	0.35862251554682206	3.7928527146345875e+30	0.35862251554682206	4006300515267230.5	536149170.4675605	107903444849.11996	3.9960992354461425e-05	1.0076179128126763e-11	1.6256840674218527e-62	1.2739080943264767e-66	3.9961002430640554e-05	
432846.0361169327	6209118757.554043	6606926.2703653965	39999.64265597188	5.429800315221188e+17	1.3587720290590773e+22	6209118757.554043	6606926.2703653965	39999.64265597188	5.429800315221188e+17	1.3587720290590773e+22	0.034	0.3586222444263447	3.792828516395365e+30	0.3586222444263447	4006283095874130.0	536147230.68888485	107903353109.97226	3.996076655862032e-05	1.007604083532067e-11	1.6256359763308427e-62	1.27388407649141e-66	3.996077663466116e-05	
532846.0361169328	7643591599.300993	6606922.038876442	39999.46073258327	1.0129449643365664e+18	2.534838483695706e+22	7643591599.300993	6606922.038876442	39999.46073258327	1.0129449643365664e+18	2.534838483695706e+22	0.034	0.35862190657735155	3.792798028879362e+30	0.35862190657735155	4006261197045067.5	536144792.9882989	107903237619.99782	3.996048243910863e-05	1.0075866588378558e-11	1.6255753792240702e-62	1.2738538067936323e-66	3.996049251497522e-05	
632846.0361169328	9078055855.23268	6606916.931080825	39999.2416717067	1.6969588570225037e+18	4.2465655721523354e+22	9078055855.23268	6606916.931080825	39999.2416717067	1.6969588570225037e+18	4.2465655721523354e+22	0.034	0.3586215021292262	3.792761253380516e+30	0.3586215021292263	4006234821171973.5	536141857.65858984	107903098386.5662	3.99601400191071e-05	1.007565639530776e-11	1.625502279508002e-62	1.2738172865043882e-66	3.996015009476349e-05	
732846.0361169328	10512509928.445263	6606910.947011058	39998.98548595808	2.63518565928266e+18	6.594474566861118e+22	10512509928.445263	6606910.947011058	39998.98548595808	2.63518565928266e+18	6.594474566861118e+22	0.034	0.3586210311517513	3.792718190808418e+30	0.3586210311517513	4006203969656800.0	536138424.8687718	107902935414.12509	3.995973931284587e-05	1.0075410262307214e-11	1.6254166801751983e-62	1.273774516719949e-66	3.995974938825613e-05	
832846.0361169328	11946952222.278017	6606904.086705298	39998.69218348021	3.8677857254168596e+18	9.679083177683397e+22	11946952222.278017	6606904.086705298	39998.69218348021	3.8677857254168596e+18	9.679083177683397e+22	0.034	0.3586204936850203	3.7926688419142785e+30	0.35862049368502036	4006168643425811.0	536134494.7279357	107902748705.74081	3.9959280330366066e-05	1.0075128194968043e-11	1.6253185841917694e-62	1.2737254985133848e-66	3.9959290405494263e-05	
932846.0361169328	13381381140.26316	6606896.350207342	39998.361770031035	5.434915239551756e+18	1.3600904992518217e+23	13381381140.26316	6606896.350207342	39998.361770031035	5.434915239551756e+18	1.3600904992518217e+23	0.034	0.3586198897525432	3.792613207389936e+30	0.3586198897525433	4006128843154906.0	536130067.31322426	107902538263.77324	3.9958763079605904e-05	1.0074810198799472e-11	1.6252079946668915e-62	1.2736702330010258e-66	3.9958773154416106e-05	
1032846.0361169328	14815795086.086834	6606887.7375666285	39997.99425000972	7.376725640972727e+18	1.846044891795856e+23	14815795086.086834	6606887.7375666285	39997.99425000972	7.376725640972727e+18	1.846044891795856e+23	0.034	0.35861921936768554	3.7925512879164937e+30	0.35861921936768554	4006084569380336.0	536125142.6835786	107902304090.20757	3.9958187567425824e-05	1.0074456279487206e-11	1.6250849149361497e-62	1.2736087213751507e-66	3.99581976418821e-05	
