1819700.85861002, 6309573.44480165, Hydrogen, SG
1905460.71796329, 5011872.33627249, Hydrogen, SG
1995262.31496892, 3981071.70553488, Hydrogen, SG
2089296.13085409, 3162277.66016831, Hydrogen, SG
2187761.6239496, 2511886.43150952, Hydrogen, SG
2290867.65276783, 1995262.31496883, Hydrogen, SG
2398832.91901949, 1584893.19246108, Hydrogen, SG
2511886.43150958, 1258925.41179414, Hydrogen, SG
2630267.99189538, 999999.999999978, Hydrogen, SG
2754228.70333817, 794328.234724263, Hydrogen, SG
2884031.50312661, 630957.344480179, Hydrogen, SG
3019951.72040202, 501187.233627261, Hydrogen, SG
3162277.66016838, 398107.170553488, Hydrogen, SG
3311311.21482591, 316227.766016838, Hydrogen, SG
3467368.50452532, 251188.643150958, Hydrogen, SG
3630780.54770101, 199526.231496888, Hydrogen, SG
3801893.96320561, 158489.319246111, Hydrogen, SG
