3981071.70553497, 125892.541179417, Hydrogen, SG
4168693.83470336, 100000, Hydrogen, G_
4365158.32240166, 79432.8234724282, Hydrogen, G_
4570881.89614875, 63095.7344480193, Hydrogen, SG
4786300.9232265, 50118.7233627273, Hydrogen, ??
5011872.33627284, 39810.7170553497, Hydrogen, SG
5248074.60249785, 31622.7766016838, Hydrogen, ??
5495408.73857637, 25118.8643150958, Hydrogen, SG
5754399.3733717, 19952.6231496888, Hydrogen, G_
6025595.86074372, 15848.9319246111, Hydrogen, ??
6309573.44480207, 12589.2541179417, Hydrogen, ??
6606934.48007626, 10000, Hydrogen, MS
6918309.70918969, 7943.28234724281, Hydrogen, MS
7244359.60075023, 6309.57344480193, Hydrogen, MS
7585775.75029219, 5011.87233627273, Hydrogen, MS
7943282.34724318, 3981.07170553497, Hydrogen, ??
8317637.7110271, 3162.27766016838, Hydrogen, MS
8709635.89956121, 2511.88643150958, Hydrogen, MS
9120108.39355973, 1995.26231496888, Hydrogen, MS
9549925.86021501, 1584.89319246111, Hydrogen, ??
10000000.0000007, 1258.92541179417, Hydrogen, MS
10471285.4805097, 1000, Hydrogen, MS
10964781.9614326, 794.328234724281, Hydrogen, ??
11481536.2149696, 630.957344480193, Hydrogen, ??
12022644.346175, 501.187233627272, Hydrogen, MS
12589254.1179425, 398.107170553497, Hydrogen, ??
13182567.3855653, 316.227766016838, Hydrogen, ??
13803842.6460301, 251.188643150958, Hydrogen, ??
14454397.7074606, 199.526231496888, Hydrogen, ??
15135612.4843635, 158.489319246111, Hydrogen, ??
15848931.9246126, 125.892541179417, Hydrogen, ??
16595869.0743771, 100, Hydrogen, ??
17378008.2874958, 79.4328234724281, Hydrogen, ??
18197008.5861019, 63.0957344480193, Hydrogen, ??
19054607.1796347, 50.1187233627272, Hydrogen, ??
19952623.1496911, 39.8107170553497, Hydrogen, ??
20892961.3085428, 31.6227766016838, Hydrogen, ??
21877616.239498, 25.1188643150958, Hydrogen, ??
22908676.5276804, 19.9526231496888, Hydrogen, ??
23988329.1901976, 15.8489319246111, Hydrogen, ??
25118864.3150993, 12.5892541179417, Hydrogen, ??
26302679.9189575, 10, Hydrogen, ??
27542287.0333855, 7.94328234724282, Hydrogen, ??
28840315.0312701, 6.30957344480193, Hydrogen, ??
30199517.2040243, 5.01187233627272, Hydrogen, ??
31622776.6016882, 3.98107170553497, Hydrogen, ??
33113112.1482637, 3.16227766016838, Hydrogen, ??
34673685.0452588, 2.51188643150958, Hydrogen, ??
36307805.477016, 1.99526231496888, Hydrogen, ??
38018939.6320623, 1.58489319246111, Hydrogen, ??
