# Central_Temp, Starting_central_density, core_type, star_type
15368719.457, 150000, Hydrogen, MS
7820706.01, 150000, Hydrogen, MS
21518898.88, 150000, Hydrogen, MS
11256386.32, 150000, Hydrogen, MS
16897664.38, 150000, Hydrogen, MS
8096220.48, 150000, Hydrogen, MS
119676628.89, 150000, Hydrogen, MS
16897664.38, 150000, Hydrogen, MS
8096220.48, 150000, Hydrogen, MS
20768539.81, 150000, Hydrogen, MS
3566002.81, 907185, Helium, G
666178.46, 907185, Helium, G
592591.51, 907185, Helium, G
3509443.87, 907185, Helium, SG
2125406.23, 907185, Helium, SG
1439745.29, 907185, Helium, SG
190763.88, 907185, Helium, SG

153687194.57, 100000000, Helium, MS
78207060.1, 100000000, Helium, MS
215188988.8, 100000000, Helium, MS
112563863.2, 100000000, Helium, MS
80962204.8, 100000000, Helium, MS
1196766288.9, 100000000, Helium, MS
168976643.8, 100000000, Helium, MS
80962204.8, 100000000, Helium, MS
207685398.1, 100000000, Helium, MS

153687194.57, 3000000000, Carbon, MS
78207060.1, 3000000000, Carbon, MS
215188988.8, 3000000000, Carbon, MS
112563863.2, 3000000000, Carbon, MS
80962204.8, 3000000000, Carbon, MS
1196766288.9, 3000000000, Carbon, MS
168976643.8, 3000000000, Carbon, MS
80962204.8, 3000000000, Carbon, MS
207685398.1, 3000000000, Carbon, MS
